trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
R1_0,7:04:00,7:04:00,117,1,,,,,
R1_0,7:09:00,7:09:00,118,2,,,,,
R1_0,7:11:00,7:11:00,119,3,,,,,
R1_0,7:14:00,7:14:00,111,4,,,,,
R1_0,7:17:00,7:17:00,112,5,,,,,
R1_0,7:25:00,7:25:00,104,6,,,,,
R1_0,7:30:00,7:30:00,102,7,,,,,
R1_0,7:32:00,7:32:00,101,8,,,,,
R1_0,7:37:00,7:37:00,92,9,,,,,
R1_0,7:46:00,7:46:00,82,10,,,,,
R1_0,7:50:00,7:50:00,67,11,,,,,
R1_0,7:53:00,7:53:00,66,12,,,,,
R1_0,7:55:00,7:55:00,65,13,,,,,
R1_0,7:58:00,7:58:00,62,14,,,,,
R1_0,8:00:00,8:00:00,322,15,,,,,
R1_0,8:04:00,8:04:00,326,16,,,,,
R1_0,8:07:00,8:07:00,345,17,,,,,
R1_0,8:09:00,8:09:00,302,18,,,,,
R1_0,8:14:00,8:14:00,320,19,,,,,
R1_0,8:18:00,8:18:00,330,20,,,,,
R1_0,8:21:00,8:21:00,303,21,,,,,
R1_0,8:23:00,8:23:00,300,22,,,,,
R1_1,7:34:00,7:34:00,117,1,,,,,
R1_1,7:39:00,7:39:00,118,2,,,,,
R1_1,7:41:00,7:41:00,119,3,,,,,
R1_1,7:44:00,7:44:00,111,4,,,,,
R1_1,7:47:00,7:47:00,112,5,,,,,
R1_1,7:55:00,7:55:00,104,6,,,,,
R1_1,8:00:00,8:00:00,102,7,,,,,
R1_1,8:02:00,8:02:00,101,8,,,,,
R1_1,8:07:00,8:07:00,92,9,,,,,
R1_1,8:16:00,8:16:00,82,10,,,,,
R1_1,8:20:00,8:20:00,67,11,,,,,
R1_1,8:23:00,8:23:00,66,12,,,,,
R1_1,8:25:00,8:25:00,65,13,,,,,
R1_1,8:28:00,8:28:00,62,14,,,,,
R1_1,8:30:00,8:30:00,322,15,,,,,
R1_1,8:34:00,8:34:00,326,16,,,,,
R1_1,8:37:00,8:37:00,345,17,,,,,
R1_1,8:39:00,8:39:00,302,18,,,,,
R1_1,8:44:00,8:44:00,320,19,,,,,
R1_1,8:48:00,8:48:00,330,20,,,,,
R1_1,8:51:00,8:51:00,303,21,,,,,
R1_1,8:53:00,8:53:00,300,22,,,,,
R1_2,8:04:00,8:04:00,117,1,,,,,
R1_2,8:09:00,8:09:00,118,2,,,,,
R1_2,8:11:00,8:11:00,119,3,,,,,
R1_2,8:14:00,8:14:00,111,4,,,,,
R1_2,8:17:00,8:17:00,112,5,,,,,
R1_2,8:25:00,8:25:00,104,6,,,,,
R1_2,8:30:00,8:30:00,102,7,,,,,
R1_2,8:32:00,8:32:00,101,8,,,,,
R1_2,8:37:00,8:37:00,92,9,,,,,
R1_2,8:46:00,8:46:00,82,10,,,,,
R1_2,8:50:00,8:50:00,67,11,,,,,
R1_2,8:53:00,8:53:00,66,12,,,,,
R1_2,8:55:00,8:55:00,65,13,,,,,
R1_2,8:58:00,8:58:00,62,14,,,,,
R1_2,9:00:00,9:00:00,322,15,,,,,
R1_2,9:04:00,9:04:00,326,16,,,,,
R1_2,9:07:00,9:07:00,345,17,,,,,
R1_2,9:09:00,9:09:00,302,18,,,,,
R1_2,9:14:00,9:14:00,320,19,,,,,
R1_2,9:18:00,9:18:00,330,20,,,,,
R1_2,9:21:00,9:21:00,303,21,,,,,
R1_2,9:24:00,9:24:00,300,22,,,,,
R1_3,8:34:00,8:34:00,117,1,,,,,
R1_3,8:39:00,8:39:00,118,2,,,,,
R1_3,8:41:00,8:41:00,119,3,,,,,
R1_3,8:44:00,8:44:00,111,4,,,,,
R1_3,8:47:00,8:47:00,112,5,,,,,
R1_3,8:55:00,8:55:00,104,6,,,,,
R1_3,9:00:00,9:00:00,102,7,,,,,
R1_3,9:02:00,9:02:00,101,8,,,,,
R1_3,9:07:00,9:07:00,92,9,,,,,
R1_3,9:16:00,9:16:00,82,10,,,,,
R1_3,9:20:00,9:20:00,67,11,,,,,
R1_3,9:23:00,9:23:00,66,12,,,,,
R1_3,9:25:00,9:25:00,65,13,,,,,
R1_3,9:28:00,9:28:00,62,14,,,,,
R1_3,9:30:00,9:30:00,322,15,,,,,
R1_3,9:34:00,9:34:00,326,16,,,,,
R1_3,9:37:00,9:37:00,345,17,,,,,
R1_3,9:39:00,9:39:00,302,18,,,,,
R1_3,9:44:00,9:44:00,320,19,,,,,
R1_3,9:48:00,9:48:00,330,20,,,,,
R1_3,9:51:00,9:51:00,303,21,,,,,
R1_3,9:54:00,9:54:00,300,22,,,,,
R1_4,9:04:00,9:04:00,117,1,,,,,
R1_4,9:09:00,9:09:00,118,2,,,,,
R1_4,9:11:00,9:11:00,119,3,,,,,
R1_4,9:14:00,9:14:00,111,4,,,,,
R1_4,9:17:00,9:17:00,112,5,,,,,
R1_4,9:25:00,9:25:00,104,6,,,,,
R1_4,9:30:00,9:30:00,102,7,,,,,
R1_4,9:32:00,9:32:00,101,8,,,,,
R1_4,9:37:00,9:37:00,92,9,,,,,
R1_4,9:46:00,9:46:00,82,10,,,,,
R1_4,9:50:00,9:50:00,67,11,,,,,
R1_4,9:53:00,9:53:00,66,12,,,,,
R1_4,9:55:00,9:55:00,65,13,,,,,
R1_4,9:58:00,9:58:00,62,14,,,,,
R1_4,10:00:00,10:00:00,322,15,,,,,
R1_4,10:04:00,10:04:00,326,16,,,,,
R1_4,10:07:00,10:07:00,345,17,,,,,
R1_4,10:09:00,10:09:00,302,18,,,,,
R1_4,10:13:00,10:13:00,320,19,,,,,
R1_5,9:34:00,9:34:00,117,1,,,,,
R1_5,9:39:00,9:39:00,118,2,,,,,
R1_5,9:41:00,9:41:00,119,3,,,,,
R1_5,9:44:00,9:44:00,111,4,,,,,
R1_5,9:47:00,9:47:00,112,5,,,,,
R1_5,9:55:00,9:55:00,104,6,,,,,
R1_5,10:00:00,10:00:00,102,7,,,,,
R1_5,10:02:00,10:02:00,101,8,,,,,
R1_5,10:07:00,10:07:00,92,9,,,,,
R1_5,10:16:00,10:16:00,82,10,,,,,
R1_5,10:20:00,10:20:00,67,11,,,,,
R1_5,10:23:00,10:23:00,66,12,,,,,
R1_5,10:25:00,10:25:00,65,13,,,,,
R1_5,10:28:00,10:28:00,62,14,,,,,
