stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
62,62,El Masnou,R1-RG1,41.476812,2.309984,,,,,,
65,65,Montgat Nord,R1-RG1,41.468753,2.286875,,,,,,
66,66,Montgat,R1-RG1,41.462734,2.271877,,,,,,
67,67,Badalona,R1-RG1,41.445226,2.24856,,,,,,
82,82,Sant Adrià del Besòs,R1-RG1,41.42409,2.230316,,,,,,
86,86,Mollet-St.Fost,R2-R2N-R8,41.532923,2.217351,,,,,,
87,87,Mollet Sta.Rosa,R3,41.535598,2.205824,,,,,,
88,88,Sta.Perpètua de la Mogoda,R3,41.521719,2.194247,,,,,,
89,89,La Llagosta,R2-R2N,41.51048,2.199902,,,,,,
90,90,Montcada i Reixac,R2-R2N,41.48405,2.188249,,,,,,
91,91,Sant Andreu Comtal,R11-R2-R2N,41.435603,2.193696,,,,,,
92,92,El Clot Aragó,R1-R11-R2-R2N-RG1,41.410388,2.189184,,,,,,
93,93,Montcada-Ripollet,R3,41.495989,2.181803,,,,,,
94,94,Cerdanyola del Vallès,R12-R4-R7,41.491961,2.148484,,,,,,
95,95,Montcada i Reixac-Sta.Maria,R12-R4-R7,41.481255,2.167165,,,,,,
96,96,Montcada i Reixac-Manresa,R12-R4-R7,41.484162,2.185281,,,,,,
97,97,Torre del Baró,R12-R3-R4-R7,41.461295,2.180745,,,,,,
98,98,Montcada Bifurcació,R12-R3-R4-R7,41.470832,2.180045,,,,,,
99,99,Sant Andreu Arenal,R12-R3-R4-R7,41.430965,2.183086,,,,,,
100,100,Estació de França,R13-R14-R15-R16-R2S,41.383979,2.186324,,,,,,
101,101,Arc de Triomf,R1-R12-R3-R4-RG1,41.392369,2.18117,,,,,,
102,102,Plaça Catalunya,R1-R12-R3-R4-RG1,41.387609,2.169135,,,,,,
103,103,Passeig de Gràcia,R11-R13-R14-R15-R16-R2-R2N-R2S,41.393144,2.166148,,,,,,
104,104,Sants,R1-R11-R12-R13-R14-R15-R16-R2-R2N-R2S-R3-R4-RG1,41.379048,2.140266,,,,,,
107,107,Barberà del Vallès,R12-R4,41.513483,2.11837,,,,,,
108,108,Sabadell Sud,R12-R4,41.528235,2.105366,,,,,,
110,110,Cerdanyola-Universitat,R7-R8,41.496864,2.114833,,,,,,
111,111,Cornellà,R1-R4,41.357542,2.070662,,,,,,
112,112,L'Hospitalet de Llobregat,R1-R12-R3-R4-RG1,41.364473,2.101604,,,,,,
