route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
R1,FEINER,R1_0,,1,,,,
R1,FEINER,R1_0T,,0,,,,
R1,FEINER,R1_1,,1,,,,
R1,FEINER,R1_1T,,0,,,,
R1,FEINER,R1_2,,1,,,,
R1,FEINER,R1_2T,,0,,,,
R1,FEINER,R1_3,,1,,,,
R1,FEINER,R1_3T,,0,,,,
R1,FEINER,R1_4,,1,,,,
R1,FEINER,R1_4T,,0,,,,
R1,FEINER,R1_5,,1,,,,
R1,FEINER,R1_5T,,0,,,,
R11,FEINER,R11_1,,1,,,,
R11,FEINER,R11_1T,,0,,,,
R11,FEINER,R11_2,,1,,,,
R11,FEINER,R11_2T,,0,,,,
R11,FEINER,R11_3,,1,,,,
R11,FEINER,R11_3T,,0,,,,
R11,FEINER,R11_4T,,0,,,,
R11,FEINER,R11_5T,,0,,,,
R12,FEINER,R12_0,,1,,,,
R13,FEINER,R13_0T,,0,,,,
R13,FEINER,R13_1,,1,,,,
R14,FEINER,R14_1T,,0,,,,
R15,FEINER,R15_1,,1,,,,
R15,FEINER,R15_1T,,0,,,,
R15,FEINER,R15_2,,1,,,,
R15,FEINER,R15_2T,,0,,,,
R15,FEINER,R15_3T,,0,,,,
R15,FEINER,R15_4T,,0,,,,
R15,FEINER,R15_5T,,0,,,,
R15,FEINER,R15_6T,,0,,,,
R15,FEINER,R15_7T,,0,,,,
R16,FEINER,R16_1,,1,,,,
R16,FEINER,R16_1T,,0,,,,
R16,FEINER,R16_2,,1,,,,
R16,FEINER,R16_2T,,0,,,,
R2,FEINER,R2_0,,1,,,,
R2,FEINER,R2_0T,,0,,,,
R2,FEINER,R2_1,,1,,,,
R2,FEINER,R2_1T,,0,,,,
R2,FEINER,R2_2,,1,,,,
R2,FEINER,R2_2T,,0,,,,
R2,FEINER,R2_3,,1,,,,
R2,FEINER,R2_3T,,0,,,,
R2,FEINER,R2_4,,1,,,,
R2,FEINER,R2_4T,,0,,,,
R2,FEINER,R2_5,,1,,,,
R2N,FEINER,R2_0N,,1,,,,
R2N,FEINER,R2_0NT,,0,,,,
R2N,FEINER,R2_1N,,1,,,,
R2N,FEINER,R2_1NT,,0,,,,
R2N,FEINER,R2_2N,,1,,,,
R2N,FEINER,R2_2NT,,0,,,,
R2N,FEINER,R2_3N,,1,,,,
R2N,FEINER,R2_3NT,,0,,,,
R2N,FEINER,R2_4N,,1,,,,
R2N,FEINER,R2_4NT,,0,,,,
R2N,FEINER,R2_5N,,1,,,,
R2N,FEINER,R2_5NT,,0,,,,
R2N,FEINER,R2_6N,,1,,,,
R2N,FEINER,R2_6NT,,0,,,,
R2N,FEINER,R2_7N,,1,,,,
R2N,FEINER,R2_8N,,1,,,,
R2S,FEINER,R2_0S,,1,,,,
R2S,FEINER,R2_0ST,,0,,,,
R2S,FEINER,R2_10S,,1,,,,
R2S,FEINER,R2_10ST,,0,,,,
R2S,FEINER,R2_11S,,1,,,,
R2S,FEINER,R2_11ST,,0,,,,
R2S,FEINER,R2_12S,,1,,,,
R2S,FEINER,R2_12ST,,0,,,,
R2S,FEINER,R2_13ST,,0,,,,
R2S,FEINER,R2_14ST,,0,,,,
R2S,FEINER,R2_15ST,,0,,,,
R2S,FEINER,R2_16ST,,0,,,,
R2S,FEINER,R2_1S,,1,,,,
R2S,FEINER,R2_1ST,,0,,,,
R2S,FEINER,R2_2S,,1,,,,
R2S,FEINER,R2_2ST,,0,,,,
R2S,FEINER,R2_3S,,1,,,,
R2S,FEINER,R2_3ST,,0,,,,
R2S,FEINER,R2_4S,,1,,,,
R2S,FEINER,R2_4ST,,0,,,,
R2S,FEINER,R2_5S,,1,,,,
R2S,FEINER,R2_5ST,,0,,,,
R2S,FEINER,R2_6S,,1,,,,
R2S,FEINER,R2_6ST,,0,,,,
R2S,FEINER,R2_7S,,1,,,,
R2S,FEINER,R2_7ST,,0,,,,
R2S,FEINER,R2_8S,,1,,,,
R2S,FEINER,R2_8ST,,0,,,,
R2S,FEINER,R2_9S,,1,,,,
R2S,FEINER,R2_9ST,,0,,,,
R3,FEINER,R3_0,,1,,,,
R3,FEINER,R3_0T,,0,,,,
R3,FEINER,R3_1,,1,,,,
R3,FEINER,R3_1T,,0,,,,
R3,FEINER,R3_2,,1,,,,
R3,FEINER,R3_2T,,0,,,,
R3,FEINER,R3_3,,1,,,,
R3,FEINER,R3_3T,,0,,,,
R3,FEINER,R3_4,,1,,,,
R3,FEINER,R3_4T,,0,,,,
R3,FEINER,R3_5T,,0,,,,
R3,FEINER,R3_6T,,0,,,,
R3,FEINER,R3_7T,,0,,,,
R4,FEINER,R4_0,,1,,,,
R4,FEINER,R4_0T,,0,,,,
R4,FEINER,R4_1,,1,,,,
R4,FEINER,R4_10,,1,,,,
R4,FEINER,R4_10T,,0,,,,
R4,FEINER,R4_11,,1,,,,
R4,FEINER,R4_11T,,0,,,,
R4,FEINER,R4_12,,1,,,,
R4,FEINER,R4_12T,,0,,,,
R4,FEINER,R4_13,,1,,,,
R4,FEINER,R4_13T,,0,,,,
R4,FEINER,R4_14,,1,,,,
R4,FEINER,R4_14T,,0,,,,
R4,FEINER,R4_15,,1,,,,
R4,FEINER,R4_15T,,0,,,,
R4,FEINER,R4_16,,1,,,,
R4,FEINER,R4_16T,,0,,,,
R4,FEINER,R4_17,,1,,,,
R4,FEINER,R4_17T,,0,,,,
R4,FEINER,R4_18T,,0,,,,
R4,FEINER,R4_19T,,0,,,,
R4,FEINER,R4_1T,,0,,,,
R4,FEINER,R4_2,,1,,,,
R4,FEINER,R4_20T,,0,,,,
