stop_id,route_id,avg_time
1000,125,30.0
1001,112,22.0
1001,114,30.0
1002,125,30.0
1003,125,30.0
1004,127,30.0
1005,127,30.0
1006,125,30.0
1007,125,30.0
1008,112,19.566666666666606
1008,114,2.28333333333336
1009,125,30.0
1010,127,30.0
1010,126,30.0
1010,128,30.0
1011,127,30.0
1012,127,30.0
1013,112,30.0
1013,114,30.0
1014,125,30.0
1015,126,30.0
1016,125,6.81666666666672
1017,126,30.0
1018,127,2.0
1018,128,1.5
1019,112,30.0
1019,114,30.0
1020,127,30.0
1021,112,30.0
1021,114,30.0
1022,127,30.0
1023,112,30.0
1023,114,30.0
1024,112,30.0
1024,114,30.0
1025,125,30.0
1026,126,30.0
1027,126,30.0
1028,127,30.0
1029,125,30.0
1029,128,30.0
1030,127,30.0
1030,128,30.0
1031,112,30.0
1032,126,30.0
1033,126,30.0
1034,112,30.0
1034,114,30.0
1035,127,30.0
1036,112,30.0
1036,114,30.0
1037,126,30.0
1038,125,30.0
1039,114,30.0
1040,126,30.0
1041,112,30.0
1041,114,30.0
1042,124,30.0
1042,122,6.4833333333333485
1042,121,60.0
1043,125,30.0
1044,114,30.0
1045,127,30.0
1045,128,30.0
1046,112,23.149999999999977
1046,114,30.0
1047,126,30.0
1048,115,30.0
1048,114,30.0
1049,125,30.0
1049,128,30.0
1050,124,30.0
1050,122,60.00000000000006
1050,121,60.0
1051,126,30.0
1052,126,30.0
1053,127,30.0
1054,125,30.0
1055,124,30.0
1055,122,60.00000000000006
1055,121,60.0
1056,126,30.0
1057,126,30.0
1058,124,30.0
1058,122,60.01666666666688
1058,121,60.0
1059,114,30.0
1060,112,25.566666666666606
1060,114,30.0
1061,115,30.0
1062,127,30.0
1062,128,30.0
1063,125,30.0
1064,127,30.0
1065,126,30.0
1066,125,30.0
1066,128,30.0
1067,124,30.0
1067,122,60.0
1067,121,60.0
1068,124,30.0
1068,122,60.00000000000006
1068,121,60.0
1069,115,30.0
1070,112,30.0
1071,112,30.0
1072,112,28.0
1072,114,25.0
1073,115,30.0
1074,126,30.0
1075,112,27.5
1076,114,30.0
1077,122,60.01666666666665
1077,121,60.0
1078,124,30.0
1079,126,30.0
1080,112,25.25
1081,122,60.0
1081,121,60.0
1082,127,30.0
1082,128,30.0
1083,117,40.0
1084,126,30.0
1085,125,30.0
1085,128,30.0
1086,125,30.0
1087,127,30.0
1088,124,30.0
1089,124,30.0
1090,127,30.0
1090,126,30.0
1090,125,30.0
1090,128,30.0
1091,112,23.0
1092,119,60.0
1093,125,30.0
1093,127,30.0
1093,126,30.0
1093,128,30.0
1094,117,40.0
1094,116,51.0
1095,124,30.0
1096,115,30.0
1097,122,20.80000000000001
1097,121,19.38333333333344
1098,124,30.0
1099,125,25.0
1099,127,25.0
1099,126,25.0
1099,128,15.0
1099,129,15.0
1100,115,30.0
1101,120,18.75
1101,122,24.05000000000001
1101,121,23.75
1102,117,40.0
1103,120,30.000000000000057
1103,115,30.0
1103,122,37.2833333333333
1103,114,30.0
1103,121,60.0
1104,116,50.91666666666663
1105,115,30.0
1105,114,30.0
1106,115,30.0
1106,114,30.0
1107,120,25.0
1107,115,30.0
1107,122,27.26666666666665
1107,121,28.13333333333344
1108,120,30.0
1108,122,60.0
1108,121,60.0
1109,124,30.0
1110,115,30.0
1110,120,30.0
1110,122,60.0
1110,121,60.0
1111,115,30.0
1112,112,30.0
1113,117,40.0
1113,129,30.0
1114,120,30.0
1115,117,17.0
1115,116,51.0
1116,117,40.0
1116,129,30.0
1117,115,30.0
1118,112,30.0
1119,115,30.0
1120,115,30.0
1121,117,40.0
1122,117,40.0
1122,116,50.84999999999991
1123,117,40.0
1124,124,30.0
