route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
100,1111100,100_1000_0,,,,,,
100,1111100,100_1000_1,,,,,,
100,1111100,100_1001_0,,,,,,
100,1111100,100_1001_1,,,,,,
100,1111100,100_1002_0,,,,,,
100,1111100,100_1002_1,,,,,,
100,1111100,100_1003_0,,,,,,
100,1111100,100_1003_1,,,,,,
100,1111100,100_1004_0,,,,,,
100,1111100,100_1004_1,,,,,,
100,1111100,100_1005_0,,,,,,
100,1111100,100_1005_1,,,,,,
100,1111100,100_1006_0,,,,,,
100,1111100,100_1006_1,,,,,,
100,1111100,100_1007_0,,,,,,
100,1111100,100_1007_1,,,,,,
100,1111100,100_1008_0,,,,,,
100,1111100,100_1008_1,,,,,,
100,1111100,100_1009_0,,,,,,
100,1111100,100_1009_1,,,,,,
100,1111100,100_1010_0,,,,,,
100,1111100,100_1010_1,,,,,,
100,1111100,100_1011_0,,,,,,
100,1111100,100_1011_1,,,,,,
100,1111100,100_1012_0,,,,,,
100,1111100,100_1012_1,,,,,,
100,1111100,100_1013_0,,,,,,
100,1111100,100_1013_1,,,,,,
100,1111100,100_1014_0,,,,,,
100,1111100,100_1014_1,,,,,,
100,1111100,100_1015_0,,,,,,
100,1111100,100_1015_1,,,,,,
100,1111100,100_1016_0,,,,,,
100,1111100,100_1016_1,,,,,,
100,1111100,100_1017_0,,,,,,
100,1111100,100_1017_1,,,,,,
100,1111100,100_1018_0,,,,,,
100,1111100,100_1018_1,,,,,,
100,1111100,100_1019_0,,,,,,
100,1111100,100_1019_1,,,,,,
100,1111100,100_1020_0,,,,,,
100,1111100,100_1020_1,,,,,,
100,1111100,100_1021_0,,,,,,
100,1111100,100_1021_1,,,,,,
100,1111100,100_1022_0,,,,,,
100,1111100,100_1022_1,,,,,,
100,1111100,100_1023_0,,,,,,
100,1111100,100_1023_1,,,,,,
100,1111100,100_1024_0,,,,,,
100,1111100,100_1024_1,,,,,,
100,1111100,100_1025_0,,,,,,
100,1111100,100_1025_1,,,,,,
100,1111100,100_1026_0,,,,,,
100,1111100,100_1026_1,,,,,,
100,1111100,100_1027_0,,,,,,
100,1111100,100_1027_1,,,,,,
100,1111100,100_1028_0,,,,,,
100,1111100,100_1028_1,,,,,,
100,1111100,100_1029_0,,,,,,
100,1111100,100_1029_1,,,,,,
100,1111100,100_1030_0,,,,,,
100,1111100,100_1030_1,,,,,,
100,1111100,100_1031_0,,,,,,
100,1111100,100_1031_1,,,,,,
101,1111100,101_1000_0,,,,,,
101,1111100,101_1000_1,,,,,,
101,1111100,101_1001_0,,,,,,
101,1111100,101_1001_1,,,,,,
101,1111100,101_1002_0,,,,,,
101,1111100,101_1002_1,,,,,,
102,1111100,102_1000_0,,,,,,
102,1111100,102_1000_1,,,,,,
102,1111100,102_1001_0,,,,,,
102,1111100,102_1001_1,,,,,,
102,1111100,102_1002_0,,,,,,
102,1111100,102_1002_1,,,,,,
102,1111100,102_1003_0,,,,,,
102,1111100,102_1003_1,,,,,,
102,1111100,102_1004_0,,,,,,
102,1111100,102_1004_1,,,,,,
102,1111100,102_1005_0,,,,,,
102,1111100,102_1005_1,,,,,,
102,1111100,102_1006_0,,,,,,
102,1111100,102_1006_1,,,,,,
102,1111100,102_1007_0,,,,,,
102,1111100,102_1007_1,,,,,,
102,1111100,102_1008_0,,,,,,
102,1111100,102_1008_1,,,,,,
102,1111100,102_1009_0,,,,,,
102,1111100,102_1009_1,,,,,,
102,1111100,102_1010_0,,,,,,
102,1111100,102_1010_1,,,,,,
102,1111100,102_1011_0,,,,,,
102,1111100,102_1011_1,,,,,,
102,1111100,102_1012_0,,,,,,
102,1111100,102_1012_1,,,,,,
102,1111100,102_1013_0,,,,,,
102,1111100,102_1013_1,,,,,,
102,1111100,102_1014_0,,,,,,
102,1111100,102_1014_1,,,,,,
102,1111100,102_1015_0,,,,,,
102,1111100,102_1015_1,,,,,,
102,1111100,102_1016_0,,,,,,
102,1111100,102_1016_1,,,,,,
102,1111100,102_1017_0,,,,,,
