service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
128.3.811,1,1,1,1,1,0,0,20110602,20190123
128.3.901,0,0,0,0,0,0,1,20110602,20190123
128.3.1261,0,0,0,0,0,1,0,20110602,20190123
128.3.1576,1,1,1,1,1,0,0,20110602,20190123
128.3.2172,0,0,0,0,0,1,0,20110602,20190123
129.1.766,1,1,1,1,1,0,0,20180123,20190123
129.1.901,0,0,0,0,0,0,1,20180123,20190123
129.1.991,0,0,0,0,0,0,0,20180123,20190123
129.1.1261,0,0,0,0,0,1,0,20180123,20190123
129.1.2172,0,0,0,0,0,1,0,20180123,20190123
130.2.35,1,1,1,1,1,1,1,20090617,20190123
132.6.809,1,1,1,1,1,0,0,20170509,20190123
132.6.899,0,0,0,0,0,1,0,20170509,20190123
132.6.944,0,0,0,0,0,0,1,20170509,20190123
132.6.1034,0,0,0,0,0,0,0,20170509,20190123
137.5.314,0,0,0,0,0,0,1,20140218,20190123
137.5.764,0,0,0,0,0,1,0,20140218,20190123
137.5.809,1,1,1,1,1,0,0,20140218,20190123
137.5.944,0,0,0,0,0,0,1,20140218,20190123
141.7.314,0,0,0,0,0,0,1,20171113,20190123
141.7.494,0,0,0,0,0,1,0,20171113,20190123
141.7.809,1,1,1,1,1,0,0,20171113,20190123
141.7.899,0,0,0,0,0,1,0,20171113,20190123
141.7.944,0,0,0,0,0,0,1,20171113,20190123
141.7.1034,0,0,0,0,0,0,0,20171113,20190123
141.7.1574,0,0,0,0,0,0,0,20171113,20190123
142.5.809,1,1,1,1,1,0,0,20180123,20190123
142.5.899,0,0,0,0,0,1,0,20180123,20190123
142.5.944,0,0,0,0,0,0,1,20180123,20190123
142.5.1034,0,0,0,0,0,0,0,20180123,20190123
143.5.764,0,0,0,0,0,1,0,20171113,20190123
143.5.809,1,1,1,1,1,0,0,20171113,20190123
143.5.944,0,0,0,0,0,0,1,20171113,20190123
145.4.764,0,0,0,0,0,1,0,20140218,20190123
145.4.809,1,1,1,1,1,0,0,20140218,20190123
145.4.944,0,0,0,0,0,0,1,20140218,20190123
145.4.989,0,0,0,0,0,1,1,20140218,20190123
146.4.764,0,0,0,0,0,1,0,20130225,20190123
146.4.809,1,1,1,1,1,0,0,20130225,20190123
146.4.944,0,0,0,0,0,0,1,20130225,20190123
147.5.809,1,1,1,1,1,0,0,20160315,20190123
147.5.899,0,0,0,0,0,1,0,20160315,20190123
147.5.944,0,0,0,0,0,0,1,20160315,20190123
147.5.1034,0,0,0,0,0,0,0,20160315,20190123
156.2.877,0,0,0,0,0,1,0,20180123,20190123
156.2.922,0,0,0,0,0,0,1,20180123,20190123
156.2.1597,1,1,1,1,1,0,0,20180123,20190123
157.4.754,0,0,0,0,0,1,0,20180123,20190123
157.4.799,1,1,1,1,1,0,0,20180123,20190123
158.4.754,0,0,0,0,0,1,0,20170325,20190123
158.4.799,1,1,1,1,1,0,0,20170325,20190123
163.4.2166,1,1,1,1,1,1,0,20170610,20190123
163.4.2168,0,0,0,0,0,0,1,20170610,20190123
163.4.2188,1,1,1,1,1,1,1,20170610,20190123
164.4.754,0,0,0,0,0,1,0,20170325,20190123
164.4.799,1,1,1,1,1,0,0,20170325,20190123
165.5.754,0,0,0,0,0,1,0,20170930,20190123
165.5.799,1,1,1,1,1,0,0,20170930,20190123
167.13.748,0,0,0,0,0,1,0,20170909,20190123
167.13.793,1,1,1,1,1,0,0,20170909,20190123
167.13.928,0,0,0,0,0,0,1,20170909,20190123
170.1.793,1,1,1,1,1,0,0,20180123,20190123
170.1.883,0,0,0,0,0,1,0,20180123,20190123
170.1.928,0,0,0,0,0,0,1,20180123,20190123
170.1.2196,1,1,1,1,1,0,0,20180123,20190123
170.1.2197,1,1,1,1,1,0,0,20180123,20190123
171.3.883,0,0,0,0,0,1,0,20101020,20190123
171.3.928,0,0,0,0,0,0,1,20101020,20190123
171.3.2184,1,1,1,1,1,0,0,20101020,20190123
171.3.2185,1,1,1,1,1,0,0,20101020,20190123
171.3.2196,1,1,1,1,1,0,0,20101020,20190123
171.3.2197,1,1,1,1,1,0,0,20101020,20190123
173.3.748,0,0,0,0,0,1,0,20170206,20190123
173.3.793,1,1,1,1,1,0,0,20170206,20190123
173.3.928,0,0,0,0,0,0,1,20170206,20190123
173.3.973,0,0,0,0,0,1,1,20170206,20190123
177.2.745,0,0,0,0,0,1,0,20180123,20190123
177.2.790,1,1,1,1,1,0,0,20180123,20190123
177.2.925,0,0,0,0,0,0,1,20180123,20190123
181.4.745,0,0,0,0,0,1,0,20140507,20190123
181.4.790,1,1,1,1,1,0,0,20140507,20190123
181.4.925,0,0,0,0,0,0,1,20140507,20190123
194.6.790,1,1,1,1,1,0,0,20171202,20190123
194.6.880,0,0,0,0,0,1,0,20171202,20190123
194.6.925,0,0,0,0,0,0,1,20171202,20190123
194.6.2193,1,1,1,1,1,0,0,20171202,20190123
194.6.2194,1,1,1,1,1,0,0,20171202,20190123
195.6.790,1,1,1,1,1,0,0,20171202,20190123
195.6.880,0,0,0,0,0,1,0,20171202,20190123
195.6.925,0,0,0,0,0,0,1,20171202,20190123
195.6.2193,1,1,1,1,1,0,0,20171202,20190123
195.6.2194,1,1,1,1,1,0,0,20171202,20190123
196.5.790,1,1,1,1,1,0,0,20171202,20190123
196.5.880,0,0,0,0,0,1,0,20171202,20190123
