service_id,date,exception_type
163.4.2166,20180123,1
163.4.2166,20180124,1
163.4.2166,20180125,1
163.4.2166,20180126,1
163.4.2166,20180127,1
163.4.2166,20180129,1
163.4.2166,20180130,1
163.4.2166,20180131,1
163.4.2166,20180201,1
163.4.2166,20180202,1
163.4.2166,20180203,1
163.4.2166,20180205,1
163.4.2166,20180206,1
163.4.2166,20180207,1
163.4.2166,20180208,1
163.4.2166,20180209,1
163.4.2166,20180210,1
163.4.2166,20180212,1
163.4.2166,20180213,1
163.4.2166,20180214,1
163.4.2166,20180215,1
163.4.2166,20180216,1
163.4.2166,20180217,1
163.4.2166,20180219,1
163.4.2166,20180220,1
163.4.2166,20180221,1
163.4.2166,20180222,1
163.4.2166,20180223,1
163.4.2166,20180224,1
163.4.2166,20180226,1
163.4.2166,20180227,1
163.4.2166,20180228,1
163.4.2166,20180301,1
163.4.2166,20180302,1
163.4.2166,20180303,1
163.4.2166,20180305,1
163.4.2166,20180306,1
163.4.2166,20180307,1
163.4.2166,20180308,1
163.4.2166,20180309,1
163.4.2166,20180310,1
163.4.2166,20180312,1
163.4.2166,20180313,1
163.4.2166,20180314,1
163.4.2166,20180315,1
163.4.2166,20180316,1
163.4.2166,20180317,1
163.4.2166,20180319,1
163.4.2166,20180320,1
163.4.2166,20180321,1
163.4.2166,20180322,1
163.4.2166,20180323,1
163.4.2166,20180324,1
163.4.2166,20180326,1
163.4.2166,20180327,1
163.4.2166,20180328,1
163.4.2166,20180329,1
163.4.2166,20180330,1
163.4.2166,20180331,1
163.4.2166,20180402,1
163.4.2166,20180403,1
163.4.2166,20180404,1
163.4.2166,20180405,1
163.4.2166,20180406,1
163.4.2166,20180407,1
163.4.2166,20180409,1
163.4.2166,20180410,1
163.4.2166,20180411,1
163.4.2166,20180412,1
163.4.2166,20180413,1
163.4.2166,20180414,1
163.4.2166,20180416,1
163.4.2166,20180417,1
163.4.2166,20180418,1
163.4.2166,20180419,1
163.4.2166,20180420,1
163.4.2166,20180421,1
163.4.2166,20180423,1
163.4.2166,20180424,1
163.4.2166,20180425,1
163.4.2166,20180426,1
163.4.2166,20180427,1
163.4.2166,20180428,1
163.4.2166,20180430,1
163.4.2166,20180501,1
163.4.2166,20180502,1
163.4.2166,20180503,1
163.4.2166,20180504,1
163.4.2166,20180505,1
163.4.2166,20180507,1
163.4.2166,20180508,1
163.4.2166,20180509,1
163.4.2166,20180510,1
163.4.2166,20180511,1
163.4.2166,20180512,1
163.4.2166,20180514,1
163.4.2166,20180515,1
163.4.2166,20180516,1
163.4.2166,20180517,1
163.4.2166,20180518,1
163.4.2166,20180519,1
163.4.2166,20180521,1
163.4.2166,20180522,1
163.4.2166,20180523,1
163.4.2166,20180524,1
163.4.2166,20180525,1
163.4.2166,20180526,1
163.4.2166,20180528,1
163.4.2166,20180529,1
163.4.2166,20180530,1
163.4.2166,20180531,1
163.4.2166,20180601,1
163.4.2166,20180602,1
163.4.2166,20180604,1
163.4.2166,20180605,1
163.4.2166,20180606,1
163.4.2166,20180607,1
163.4.2166,20180608,1
163.4.2166,20180609,1
212.4.1867,20180127,1
212.4.1867,20180203,1
212.4.1867,20180210,1
212.4.1867,20180217,1
212.4.1867,20180224,1
212.4.1867,20180303,1
212.4.1867,20180310,1
212.4.1867,20180317,1
212.4.1867,20180324,1
212.4.1867,20180331,1
212.4.1867,20180407,1
212.4.1867,20180414,1
212.4.1867,20180421,1
212.4.1867,20180428,1
212.4.1867,20180505,1
212.4.1867,20180512,1
212.4.1867,20180519,1
212.4.1867,20180526,1
349.2.2195,20180128,1
349.2.2195,20180204,1
349.2.2195,20180211,1
349.2.2195,20180218,1
349.2.2195,20180225,1
349.2.2195,20180304,1
349.2.2195,20180311,1
349.2.2195,20180318,1
349.2.2195,20180401,1
349.2.2195,20180408,1
349.2.2195,20180415,1
349.2.2195,20180422,1
349.2.2195,20180429,1
349.2.2195,20180506,1
349.2.2195,20180513,1
349.2.2195,20180520,1
349.2.2195,20180527,1
349.2.2195,20180603,1
349.2.2195,20180610,1
349.2.2195,20180617,1
349.2.2195,20180624,1
349.2.2195,20180701,1
349.2.2195,20180708,1
349.2.2195,20180715,1
349.2.2195,20180722,1
349.2.2195,20180729,1
349.2.2195,20180805,1
349.2.2195,20180812,1
349.2.2195,20180819,1
349.2.2195,20180826,1
349.2.2195,20180902,1
