stop_id,route_id,avg_time
1,194.6,8.0
1,195.6,10.0
1,200.5,15.0
1,248.7,10.0
1,196.5,14.0
1,197.3,17.0
1,292.7,15.0
1,220.7,20.0
100,230.3,20.0
100,226.3,20.0
100,231.6,20.0
1002,221.2,20.0
1004,206.6,15.0
1004,197.3,15.0
1004,221.2,20.0
1005,206.6,15.0
1005,197.3,15.0
1005,221.2,20.0
1006,206.6,15.0
1006,197.3,15.0
1006,196.5,15.0
1006,221.2,20.0
1007,206.6,15.0
1007,197.3,15.0
1007,221.2,20.0
1008,181.4,8.266666666666708
1008,204.3,10.0
1008,170.1,5.0
1008,220.7,20.0
1009,181.4,9.18333333333328
1009,204.3,10.0
1009,220.7,20.0
101,231.6,20.0
1010,181.4,8.966666666666697
1010,204.3,10.0
1010,220.7,20.0
1011,181.4,8.483333333333348
1011,204.3,10.0
1011,170.1,5.0
1011,220.7,20.0
1013,219.3,20.0
1016,219.3,20.0
1020,268.4,30.0
1020,208.4,23.566666666666606
1020,202.6,21.23333333333335
1020,223.9,20.0
1021,268.4,30.0
1021,208.4,23.933333333333394
1021,202.6,20.83333333333337
1021,223.9,20.0
1023,230.3,20.0
1025,230.3,20.0
1026,230.3,20.0
1028,143.5,4.183333333333394
1028,313.7,5.0
103,231.6,20.0
1032,215.4,10.0
1032,173.3,7.533333333333303
1035,147.5,4.399999999999977
1035,146.4,8.0
1035,232.5,20.0
1041,220.7,20.0
1042,196.5,14.0
1042,292.7,15.0
1047,147.5,4.466666666666697
1047,146.4,8.0
1047,300.3,40.0
1047,299.3,15.0
1047,232.5,20.0
105,226.3,20.0
105,231.6,20.0
1050,147.5,4.0
1050,299.3,23.816666666666606
1050,300.3,37.18333333333328
1052,147.5,4.349999999999909
1052,300.3,40.0
1052,299.3,15.0
1054,129.1,4.0
1055,216.2,20.0
1055,229.6,20.0
1056,216.2,20.0
1056,229.6,20.0
1057,216.2,20.0
1057,231.6,20.0
1057,395.1,20.0
1057,229.6,20.0
1058,216.2,20.0
1058,229.6,20.0
1059,326.4,7.0
1059,302.3,14.149999999999977
1059,328.7,10.0
1060,231.6,20.0
1066,232.5,20.0
1067,142.5,6.0
1067,232.5,20.0
108,170.1,5.0
1081,206.6,10.0
1081,204.3,10.0
1081,220.7,20.0
1081,221.2,20.0
1083,203.3,10.0
1083,206.6,15.0
1083,204.3,20.0
1083,202.6,16.983333333333235
1083,268.4,30.0
1083,212.4,10.0
1083,213.4,10.0
1083,163.4,5.0
1083,223.9,20.0
1084,203.3,10.0
1084,206.6,15.0
1084,204.3,20.0
1084,202.6,17.23333333333335
1084,268.4,30.0
1084,212.4,10.0
1084,213.4,10.0
1084,163.4,5.0
1084,223.9,20.0
1085,203.3,10.0
1085,206.6,15.0
1085,204.3,20.0
1085,202.6,17.649999999999977
1085,268.4,30.0
1085,212.4,10.0
1085,213.4,10.0
1085,163.4,5.0
1085,223.9,20.0
1086,203.3,10.0
1086,204.3,20.0
1086,206.6,15.0
1086,207.2,13.266666666666652
1086,212.4,10.0
1086,221.2,20.0
