stop_lat,stop_lon,stop_name,stop_id,wheelchair_boarding
41.5633063,2.0190489,Vallparadís Universitat,293,1
41.5701675,2.015487,Terrassa Estació del Nord,294,1
41.5801339,2.0134592,Terrassa Nacions Unides,295,1
41.385750,2.170060,Pl. Catalunya,1,1
41.392814336,2.158030869,Provença,2,1
41.399098225,2.152662325,Gràcia,3,1
41.401066080,2.147133783,Sant Gervasi,4,1
41.615627911,1.843723316,Monistrol-Vila,71,2
41.592253730,1.836497527,Montserrat,72,2
41.398526436,2.142346041,Muntaner,5,1
41.397815694,2.136433966,La Bonanova,6,1
41.397800416,2.130811822,Les Tres Torres,7,1
41.398499380,2.125574875,Sarrià,8,2
41.398745991,2.118932325,Reina Elisenda,9,1
41.409216161,2.111181541,Peu del Funicular,10,2
41.420094413,2.096936777,Baixador de Vallvidrera,11,1
41.427402638,2.0916176,Les Planes,12,1
41.444874077,2.073166144,La Floresta,13,1
41.457841563,2.068312030,Valldoreix,14,1
41.467910377,2.078203288,Sant Cugat,15,1
41.469368733,2.061380927,Mira-sol,16,1
41.476209227,2.046514894,Hospital General,17,1
41.486287975,2.031357969,Rubí,18,1
41.528469816,2.033582202,Les Fonts,19,1
41.559746305,2.007525272,Terrassa - Rambla,20,1
41.401693797,2.146754722,Pl. Molina,27,1
41.403510652,2.142759094,Pàdua,28,1
41.405825686,2.139151477,El Putxet,29,2
41.409647986,2.137162791,Av. Tibidabo,30,1
41.481248,2.072928,Volpelleres,292,1
41.490153877,2.076498641,Sant Joan,21,1
41.500858436,2.090556583,Bellaterra,22,1
41.502852819,2.102510441,Universitat Autònoma,23,1
41.529991547,2.088722533,Sant Quirze,24,1
41.542522966,2.100463866,Can Feu - Gràcia,25,1
41.5474198,2.1088815,Sabadell Plaça Major,26,1
41.554954,2.100385,La Creu Alta,296,1
41.561225,2.096657,Sabadell Nord,297,1
41.571291,2.089499,Sabadell Parc del Nord,298,1
41.374719902,2.148458333,Pl. Espanya,31,1
41.367487683,2.138879447,Magòria-La Campana,32,1
41.360908666,2.130023266,Ildefons Cerdà,33,1
41.356558916,2.124199344,Europa | Fira,290,1
41.354885891,2.117431558,Gornal,34,1
41.360700975,2.10991665,Sant Josep,35,1
41.357933777,2.102709519,L'Hospitalet-Av. Carrilet,36,1
41.353067469,2.085251402,Almeda,37,1
41.351478277,2.071263627,Cornellà Riera,38,1
41.348561430,2.042855988,Sant Boi,39,1
41.357514725,2.035276936,Molí Nou-Ciutat Cooperativa,40,1
41.363863363,2.031859416,Colònia Güell,41,1
41.370647661,2.023520241,Santa Coloma de Cervelló,42,1
41.388108394,2.012398952,Sant Vicenç dels Horts,43,1
41.398820605,2.005346458,Can Ros,44,1
41.406292375,2.001715183,Quatre Camins,45,1
41.420786852,1.995677605,Pallejà,46,1
41.446480008,1.973673502,Sant Andreu de la Barca,47,1
41.455880744,1.9622947,El Palau,48,1
41.475871397,1.938956855,Martorell Vila,49,1
41.4792845,1.925294975,Martorell Central,291,1
41.483969358,1.918677519,Martorell Enllaç,50,1
41.522561369,1.906805399,Abrera,51,1
41.541059080,1.888618922,Olesa de Montserrat,52,1
41.591198116,1.853361605,Montserrat-Aeri,55,1
41.610359602,1.849194030,Monistrol de Montserrat,56,1
41.640517058,1.854793522,Castellbell i el Vilar,57,1
41.667910161,1.859605800,Sant Vicenç-CastellGalí,58,1
41.724369908,1.833985950,Manresa-Viladordis,59,1
41.73224,1.832986,Manresa-Alta,60,1
41.731457,1.832986,Manresa-Baixador,61,1
41.497676052,1.8724438,Sant Esteve Sesrovires,53,1
41.501763902,1.838788972,La Beguda,54,1
41.502223569,1.830813063,Can Parellada,63,1
41.502884,1.812625072,Masquefa,62,1
41.525913388,1.754504430,Piera,65,1
41.520259786,1.709010719,Vallbona d'Anoia,64,1
41.521535330,1.695130725,Capellades,66,1
41.554610938,1.677906247,La Pobla de Claramunt,68,1
41.573314722,1.642009216,Vilanova del Camí,67,1
41.578026511,1.629951133,Igualada,69,1
41.409360544,2.111215466,Vallvidrera Inferior,75,1
41.414128427,2.105778047,Vallvidrera Superior,76,1
41.620098,0.633672,Lleida,123,0
41.654738,0.686458,Alcoletge,523,0
41.687347,0.727903,Vilanova de la Barca,923,0
41.717644,0.764899,Térmens,333,0
41.755094,0.805247,Vallfogona de Balaguer,733,0
41.789215,0.814761,Balaguer,143,0
41.823301,0.812079,Gerb,543,0
41.866379,0.832571,St. Llorenç de Montgai,943,0
41.91207,0.830401,Vilanova de la Sal,353,0
41.93156,0.852312,Santa Linya,753,0
42.006741,0.851596,Àger,163,0
42.058631,0.882707,Cellers-Llimiana,563,0
42.101399,0.88809,Guardia de Tremp,963,0
42.139446,0.893379,Palau de Noguera,373,0
42.167348,0.891057,Tremp,773,0
42.206835,0.940463,Salàs de Pallars,183,0
42.239877,0.965917,La Pobla de Segur,583,0
