route_id,service_id,trip_id,trip_headsign,shape_id
L8,002200,00220060709,Pl. Espanya,L8_des
L8,002200,00220060710,Pl. Espanya,L8_des
L8,002200,00220060711,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060712,Pl. Espanya,L8_des
L8,002200,00220060713,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060714,Pl. Espanya,L8_des
L8,002200,00220060715,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060716,Pl. Espanya,L8_des
L8,002200,00220060717,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060718,Pl. Espanya,L8_des
L8,002200,00220060719,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060720,Pl. Espanya,L8_des
L8,002200,00220060721,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060722,Pl. Espanya,L8_des
L8,002200,00220060723,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060724,Pl. Espanya,L8_des
L8,002200,00220060725,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060726,Pl. Espanya,L8_des
L8,002200,00220060727,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060728,Pl. Espanya,L8_des
L8,002200,00220060729,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060730,Pl. Espanya,L8_des
L8,002200,00220060731,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060732,Pl. Espanya,L8_des
L8,002200,00220060733,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060734,Pl. Espanya,L8_des
L8,002200,00220060735,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060736,Pl. Espanya,L8_des
L8,002200,00220060737,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060738,Pl. Espanya,L8_des
L8,002200,00220060739,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060740,Pl. Espanya,L8_des
L8,002200,00220060741,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060742,Pl. Espanya,L8_des
L8,002200,00220060743,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060744,Pl. Espanya,L8_des
L8,002200,00220060745,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060746,Pl. Espanya,L8_des
L8,002200,00220060747,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060748,Pl. Espanya,L8_des
L8,002200,00220060749,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060750,Pl. Espanya,L8_des
L8,002200,00220060751,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060752,Pl. Espanya,L8_des
L8,002200,00220060753,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060754,Pl. Espanya,L8_des
L8,002200,00220060755,Moli Nou-Ciutat Cooperativa,L8_asc
L8,002200,00220060756,Pl. Espanya,L8_des
L8,002200,00220060757,Moli Nou-Ciutat Cooperativa,L8_asc
