agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url
AA,"Autocares R. Font, SAU i Marfina Bus, SA",http://mou-te.gencat.cat,Europe/Madrid,,,
AC,"Autocars Rovira, SL",http://mou-te.gencat.cat,Europe/Madrid,,,
AD,Autocars Salvia SL,http://mou-te.gencat.cat,Europe/Madrid,,,
AF,"Autocars Solé Seró, SL",http://mou-te.gencat.cat,Europe/Madrid,,,
AG,"Autocars Vendrell, SL",http://mou-te.gencat.cat,Europe/Madrid,,,
AH,"Autocorb, SA",http://mou-te.gencat.cat,Europe/Madrid,,,
AK,"Autos Castellbisbal, SA",http://mou-te.gencat.cat,Europe/Madrid,,,
AL,"Barcelona Bus, SL",http://mou-te.gencat.cat,Europe/Madrid,,,
AQ,"Bus Castellví, SA",http://mou-te.gencat.cat,Europe/Madrid,,,
AT,"CRA La Hispània, SA",http://mou-te.gencat.cat,Europe/Madrid,,,
AV,"Cingles Bus, SA",http://mou-te.gencat.cat,Europe/Madrid,,,
AW,"Comasòlivas i Codina, Jordi",http://mou-te.gencat.cat,Europe/Madrid,,,
AY,"Cia. del Ferrocarril de Olot a Gerona, SA",http://mou-te.gencat.cat,Europe/Madrid,,,
BA,David i Manel SL,http://mou-te.gencat.cat,Europe/Madrid,,,
BB,"Eix-Bus, SA",http://mou-te.gencat.cat,Europe/Madrid,,,
BC,"Empresa Casas, SA",http://mou-te.gencat.cat,Europe/Madrid,,,
BD,Empresa Lax SL,http://mou-te.gencat.cat,Europe/Madrid,,,
BE,"Empresa Sagalés, SA",http://mou-te.gencat.cat,Europe/Madrid,,,
BJ,"Ferrocarriles y Transportes, SA",http://mou-te.gencat.cat,Europe/Madrid,,,
BR,"La Hispano de Fuente en Segures, SA (HIFE)",http://mou-te.gencat.cat,Europe/Madrid,,,
BS,"Hispano Hilarienca, SA",http://mou-te.gencat.cat,Europe/Madrid,,,
BT,"La Hispano Igualadina, SL",http://mou-te.gencat.cat,Europe/Madrid,,,
BU,"La Hispano Llacunense, SL",http://mou-te.gencat.cat,Europe/Madrid,,,
BY,"La Vallesana, SA",http://mou-te.gencat.cat,Europe/Madrid,,,
CC,"Marfina Bus, SA",http://mou-te.gencat.cat,Europe/Madrid,,,
CD,"Martín Colomer, SL",http://mou-te.gencat.cat,Europe/Madrid,,,
CF,"Miguel Gamón, SL",http://mou-te.gencat.cat,Europe/Madrid,,,
CG,"Mohn, SL",http://mou-te.gencat.cat,Europe/Madrid,,,
CI,"Montferri Hermanos, SL",http://mou-te.gencat.cat,Europe/Madrid,,,
CJ,"Morell Ibars, Isidre",http://mou-te.gencat.cat,Europe/Madrid,,,
CK,"Móra d'Ebre Bus, SL",http://mou-te.gencat.cat,Europe/Madrid,,,
