stop_id,route_id,avg_time
AAH,1398,110.0
AAI,1398,375.0
AAO,1398,110.0
AAQ,1398,94.0
AAR,1398,60.0
AAS,1727,55.0
AAS,1729,12.0
AAS,1726,58.0
AAS,1398,375.0
AB,2161,161.0
ABG,2184,618.0
ABG,2183,47.0
ABJ,2181,60.0
ABO,1112,30.0
ABO,1070,465.0
ABP,1139,45.0
ABP,1136,89.0
ABP,1137,31.0
ABP,2261,166.0
ABS,1070,425.0
ABW,1393,200.0
ABZ,2393,70.0
ACH,2262,23.0
ACM,1451,450.0
ACO,1558,692.0
ACO,1281,90.0
ACP,1281,95.0
ACP,2379,120.0
ACQ,1554,16.0
ACR,1554,21.0
ACS,1548,255.0
ACT,1554,20.0
ACV,2393,40.0
ADD,1384,None
AE,1558,685.0
AE,1281,115.0
AEA,1232,450.0
AED,1163,110.0
AED,1547,200.0
AED,2262,156.0
AEF,2499,28.666666666666657
AEF,2508,104.0
AEF,2262,52.0
AEF,2051,30.0
AEF,2657,904.0
AEF,1654,228.0
AEF,2658,525.0
AEG,1547,120.0
AEG,2262,None
AEH,2262,63.0
AEH,1547,202.0
AEI,1547,194.0
AEI,2262,158.0
AEL,1017,470.0
AEM,1553,470.0
AER,1172,55.0
AER,1140,235.0
AET,1225,60.0
AET,2376,100.0
AET,2553,25.0
AET,1220,None
AET,1309,99.5
AET,2128,60.0
AEX,1552,120.0
AEX,1190,None
AF,1550,61.0
AF,1579,69.0
AFA,1558,710.0
AFA,1281,115.0
AFB,1274,132.0
AFD,1275,85.0
AFD,1705,63.0
AFD,1382,None
AFE,1275,42.0
AFF,2508,1103.0
AFF,1705,65.0
AFF,1382,None
AFG,2508,53.0
AFG,1705,53.0
AFG,1275,30.0
AFG,1382,370.0
AFH,1156,None
AFH,1505,90.0
AFH,1893,210.0
AFK,1003,10.0
AFL,1342,20.0
AFN,2173,110.0
AFP,2597,82.0
AFP,2535,None
AFQ,2535,220.0
AFR,1252,6.0
AFU,1140,285.0
AFX,1346,14.0
AGA,1346,55.0
AGJ,1585,60.0
AGJ,1577,170.0
AGK,1585,29.0
AGK,1577,74.0
AGK,1346,437.0
AGQ,1731,60.0
AGQ,1733,60.0
AGQ,1284,15.0
AGQ,1541,None
AGQ,1219,30.0
AGQ,2128,60.0
AGW,1191,105.0
AGW,2521,60.0
AGW,2438,None
AGW,2501,90.0
AHD,2499,95.0
AHD,1737,108.0
AHD,1572,105.0
AHF,2122,25.0
AHF,2284,83.0
AHK,1160,60.0
AHM,955,295.0
AHN,955,295.0
AHQ,1757,180.0
AHQ,1023,335.0
AHQ,1024,450.0
AHQ,2563,346.0
AHY,1535,895.0
AHY,1104,95.0
AIB,2087,25.0
AIE,2087,5.0
AIG,1519,425.0
AIN,1580,735.0
AIN,2262,122.0
AIP,1654,115.0
AIP,1088,60.0
AIP,1997,158.0
AIP,1434,128.0
AIQ,2262,45.0
AIR,2393,42.0
AIR,1352,66.0
AIT,2676,63.0
AIU,1018,525.0
AJD,1569,67.0
AJH,2497,55.71666666666667
AJH,1726,10.0
AJH,1576,100.0
AJJ,1569,605.0
AJN,1569,45.0
AJO,1726,55.0
AJO,1282,90.0
AJY,1082,60.0
AKB,2284,55.0
AKB,2285,120.0
AKF,1564,20.0
AKI,1548,265.0
AKJ,1548,285.0
AKK,1554,15.0
AKL,1554,30.0
AKU,1109,24.0
AKV,1716,91.0
AKV,1108,430.0
AKV,1111,60.0
ALB,1579,210.0
ALB,1550,130.0
ALF,1710,60.0
ALF,1171,45.0
ALN,1190,555.0
ALN,1574,120.0
ALN,1564,128.0
ALN,1109,120.0
ALQ,1590,67.0
ALR,1554,None
ALR,1551,55.0
ALX,2628,45.0
ALX,1738,15.0
ALX,1601,15.0
ALX,2642,60.0
ALX,2680,60.0
ALX,2681,30.0
ALX,1545,5.0
ALX,1963,30.0
ALX,2594,30.0
ALX,1546,20.0
ALX,2655,45.0
ALX,1962,60.0
ALX,2678,74.0
ALX,2470,60.0
AME,2173,10.0
AME,1405,45.0
ANC,1442,150.0
ANE,1130,45.0
ANG,2714,55.0
ANG,2506,45.0
ANG,2214,50.0
ANJ,2510,61.0
ANK,1280,20.0
ANK,2665,20.0
ANM,1091,180.0
ANM,1497,85.0
ANM,1249,561.0
ANS,1390,90.0
ANT,1390,145.0
ANT,1249,583.0
ANZ,1132,50.0
ANZ,1521,85.0
ANZ,1131,25.0
ANZ,1024,531.0
ANZ,1025,130.0
AOA,1132,45.0
AOA,1521,120.0
AOA,1131,35.0
AOA,1024,507.0
AOA,1525,90.0
AOA,1025,105.0
AOB,1626,40.0
AOB,2705,175.0
AOB,1065,175.0
AOB,1454,615.0
AOB,2500,None
AOC,1408,44.0
AOC,1518,90.0
AOC,1023,554.0
AOC,1652,13.0
AOC,1406,88.0
AOD,1280,30.0
AOD,2665,90.0
AOE,1127,27.0
AOE,1406,45.0
AOE,1327,20.0
AOF,1517,50.0
AOF,1637,60.0
AOG,1637,74.0
AOH,1408,15.0
AOH,1518,67.0
AOH,2306,33.0
AOH,2305,26.0
AOH,1023,507.0
AOH,1404,50.0
AOH,1348,40.0
AOI,1850,167.0
AOK,1850,174.0
AOL,2550,130.0
AOL,1280,80.0
AOL,1517,45.0
AOL,2665,140.0
AOM,1408,52.0
AOM,1518,90.0
AOM,1023,546.0
AOM,1652,1.0
AOM,1406,65.0
AOM,2682,600.0
AOM,2582,115.0
AON,1131,30.0
AOO,1517,375.0
AOO,1642,125.0
AOO,1643,125.0
AOO,2510,105.0
AOR,1082,65.0
AOS,1082,65.0
AOT,1082,65.0
AOU,1082,65.0
AOU,1052,5.0
AOV,1497,48.0
AOX,1850,107.0
AOY,1454,90.0
AOY,1626,56.5
AOY,1065,143.0
AOZ,1626,45.5
AOZ,1065,130.0
AOZ,2500,None
AP,1234,40.0
APA,1025,93.0
APB,1521,60.0
APB,1024,487.0
APC,1524,125.0
APE,1646,135.0
APE,1645,150.0
APF,1406,62.0
APG,2097,175.0
APG,2033,None
APG,2629,255.0
APH,1115,60.0
APH,1849,480.0
APH,2714,55.0
API,1071,40.0
API,2714,75.0
API,2667,45.0
API,1517,430.0
APJ,1071,40.0
APJ,2714,85.0
APJ,1517,20.0
APJ,2667,43.0
APK,1517,570.0
APL,1393,45.0
APL,2185,44.0
APL,1249,737.0
APL,1390,46.0
APL,1090,20.0
APL,1063,30.0
APL,2207,7.0
APM,2185,15.0
APM,2207,4.0
APN,2185,14.0
APN,2207,180.0
APO,2185,20.0
APO,2207,10.0
APP,2185,55.0
APQ,2714,75.0
APQ,1115,48.0
APR,1393,65.0
APR,1090,50.0
APR,1403,105.0
APR,2682,500.0
APR,1407,10.0
APS,1393,65.0
APS,1090,44.0
APS,1403,105.0
APS,1407,16.0
APU,1157,140.0
APV,1442,None
APW,1442,50.0
APX,1646,350.0
APZ,2185,180.0
AQC,1071,37.0
AQC,2714,75.0
AQC,1099,25.0
AQC,1115,35.0
AQC,2634,108.0
AQD,1408,36.0
AQD,1518,90.0
AQD,1023,569.0
AQD,1652,32.0
AQD,1406,109.0
AQE,2419,50.0
AQF,2419,54.0
AQF,2460,225.0
AQJ,1071,45.0
AQJ,1517,20.0
AQK,1071,25.0
AQK,2714,57.0
AQK,1517,15.0
AQK,2406,40.0
AQK,2496,30.0
AQK,1099,180.0
AQK,2634,82.0
AQP,2496,30.0
AQP,2406,45.0
AQT,1522,45.0
AQT,1192,255.0
AQU,1522,41.0
AQU,1192,261.0
AQV,1327,4.0
AQW,1327,330.0
AQX,1850,180.0
ARB,1522,34.0
ARB,1192,289.0
ARC,1408,30.0
ARC,2306,318.0
ARD,1408,30.0
ARD,1901,50.0
ARD,2306,50.0
ARD,1518,69.0
ARD,1023,489.0
ARE,1642,115.0
ARE,2510,101.0
ARF,1642,105.0
ARF,2510,95.0
ARG,1348,70.0
ARH,1406,65.0
ARI,1524,95.0
ARJ,1497,85.0
ARK,2550,150.0
ARK,1280,60.0
ARK,1517,65.0
ARK,2665,120.0
ARM,1646,120.0
ARN,1348,64.0
ARR,2456,55.0
ARR,1327,None
ARU,2419,86.0
ARV,1193,None
ARW,1193,None
ARY,1348,50.0
AS,1234,45.0
ASA,1079,38.0
ASC,1115,60.0
ASD,1280,28.0
ASD,2665,28.0
ASE,1850,180.0
ASF,1850,180.0
ASG,1850,158.0
ASH,1850,180.0
ASI,1850,180.0
ASJ,1192,315.0
ASK,1192,307.0
ASM,1497,48.0
ASO,2582,55.0
ASO,1126,15.0
ASO,1408,25.0
ASP,1126,12.0
ASQ,1099,35.0
ASQ,2604,15.0
ASW,1157,20.0
ATA,1249,711.0
ATA,1063,145.0
ATB,1454,110.0
ATC,1497,48.0
ATD,1497,48.0
ATE,1522,40.0
ATF,1442,30.0
ATG,1442,30.0
ATI,2406,60.0
ATJ,1127,25.0
ATK,1071,26.0
ATK,2714,53.0
ATK,1517,145.0
ATK,1099,15.0
ATK,2496,30.0
ATK,2406,25.0
ATK,2634,88.0
ATL,1071,39.0
ATL,1099,15.0
ATL,2496,60.0
ATL,2406,30.0
ATM,1090,40.0
ATM,1403,112.0
ATM,2682,490.0
ATN,2025,480.0
ATO,2629,90.0
ATP,1442,35.0
ATR,1091,140.0
ATR,1390,810.0
ATR,1497,43.0
ATR,1249,523.0
ATT,2029,15.0
ATT,2438,215.0
ATT,1849,10.0
ATT,2409,30.0
ATT,1052,10.0
ATT,1450,25.0
ATT,2062,310.0
ATT,2043,555.0
ATT,1025,5.0
ATT,1082,145.0
ATT,1517,None
ATV,1171,296.0
ATW,1171,270.0
ATX,1171,290.0
ATZ,1406,67.0
AUA,1646,130.0
AUB,1646,325.0
AUC,1524,115.0
AUD,1082,60.0
AUF,1404,320.0
AUG,1646,125.0
AUI,1408,32.0
AUI,1518,90.0
AUI,1023,565.0
AUI,1406,104.0
AUJ,1517,21.0
AUJ,2714,120.0
AUJ,1637,34.0
AUK,1406,55.0
AUK,1127,16.0
AUK,1348,60.0
AUL,1406,59.0
AUL,1348,66.0
AUM,1032,50.0
AUM,1408,45.0
AUM,1521,100.0
AUM,1518,90.0
AUM,1023,595.0
AUM,1024,605.0
AUM,1652,53.0
AUM,2635,405.0
AUM,1406,30.0
AUM,2582,50.0
AUM,1615,30.0
AUM,1031,30.0
AUM,1131,75.0
AUM,1404,390.0
AUM,1407,25.0
AUM,2682,560.0
AUM,1403,65.0
AUM,1025,205.0
AUM,1390,525.0
AUM,2605,230.0
AUM,1033,25.0
AUM,1034,45.0
AUM,1405,45.0
AUO,1033,5.0
AUP,1850,118.0
AUQ,1525,90.0
AUR,1525,165.0
AUS,2070,45.0
AUT,2050,60.0
AUU,2406,30.0
AUU,2496,20.0
AUU,2510,249.0
AUV,1071,75.0
AUV,1517,25.0
AUV,1637,50.0
AUW,2050,60.0
AUW,2070,305.0
AUX,1071,45.0
AUX,2714,95.0
AUX,1517,20.0
AUX,1637,120.0
AUY,2667,58.0
AUY,1517,62.0
AUY,2714,120.0
AUY,1637,10.0
AUZ,1850,180.0
AVA,2629,120.0
AVC,1171,310.0
AVD,1408,30.0
AVD,1901,166.0
AVD,2306,166.0
AVD,1518,63.0
AVD,1023,483.0
AVE,1408,60.0
AVE,1518,60.0
AVE,1901,318.0
AVE,2306,318.0
AVE,1023,480.0
AVF,1517,60.0
AVF,1637,69.0
AVG,2185,50.0
AVH,1193,None
AVH,1642,105.0
AVH,2510,85.0
AVI,2629,120.0
AVJ,1645,133.0
AVL,1645,123.0
AVL,2097,66.0
AVL,1646,105.0
AVM,1645,420.0
AVO,1521,80.0
AVO,1024,551.0
AVO,1652,120.0
AVO,1131,85.0
AVO,1025,145.0
AVP,1405,45.0
AVQ,1390,636.0
AVQ,2185,25.0
