route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1003,CC,L1008,,(LB1) Urbà de Barberà del Vallès,3,,,
1006,CK,L0520,,Móra d'Ebre - Móra la Nova (estació),3,,,
1007,AV,L0358,,Granollers-Terrassa-Manresa,3,,,
1011,DD,L0480,,(781) Manresa-Castellgalí-St. Vicenç Castellet,3,,,
1012,DD,L0481,,(784) Manresa-Castellgalí-St.Vicenç-Monistrol,3,,,
1013,DD,L0487,,(783) Manresa-Pt.Vilomara-St.Vicenç-Monistrol,3,,,
1014,DD,L0483,,(782) Manresa-Pt.Vilomara-St.Vicenç Castellet,3,,,
1016,CY,L0654,,(L60) Sant Feliu L.-Sant Vicenç H.-Molins de Rei,3,,,
1017,DD,L0471,,(750 758) Marganell - Manresa,3,,,
1018,DD,L0490,,(786) Manresa - Talamanca - Mura,3,,,
1019,DD,L0473,,(752) Rocafort - Manresa,3,,,
1022,AT,L0706,,(295) Santa Perpètua de Mogoda-la Llagosta,3,,,
1023,DH,L0541,,Olot - UAB per Banyoles,3,,,
1024,DH,L0540,,Olot - UAB,3,,,
1025,DH,L0537,,Olot - Lloret de Mar,3,,,
1031,DH,L0682,,Santa Pau -Olot,3,,,
1032,DH,L0544,,Olot - Montagut - Tortellà - Poliger,3,,,
1033,DH,L0535,,Olot - Batet,3,,,
1034,DH,L0539,,Olot - Riudaura,3,,,
1037,CS,L0066,,Barcelona - Les,3,,,
1038,EJ,L0110,,Barcelona - Monestir de Montserrat,3,,,
1039,BJ,L0127,,(202 203) BCN - Santa Maria d'Oló per ctra.,3,,,
1041,DF,L0229,,Fonollosa-Castellar-Canet de Fals-Manresa,3,,,
1042,BJ,L0197,,(201) Caldes de Montbui-Palau-BCN per ctra.,3,,,
1043,BE,L0797,,Vic - Espinelves,3,,,
1045,BT,L0788,,Valls - Reus pel Morell,3,,,
1046,BT,L0789,,Valls - Reus per la Selva del Camp,3,,,
1047,BT,L0420,,la Selva del Camp-Valls-Vilafranca-Barcelona,3,,,
1048,BT,L0582,,Reus-Reus Aeroport-Vilafranca del P.-BCN,3,,,
1049,BE,L0457,,(A42) Urbà de Lliçà d'Amunt: Can Farell i la Serra,3,,,
1050,BE,L0458,,(A1) Urbà de Lliçà d'Amunt: Palaudàries,3,,,
1052,DM,L0168,,Blanes - Lloret de Mar,3,,,
1055,BY,L0228,,(C4) Castellar del V.-St.Feliu del Racó-el Balcó,3,,,
1059,DA,L0412,,(N4) La Pineda - Salou - Cambrils,3,,,
1060,DA,L0529,,(N3) Tarragona - Salou,3,,,
1063,DP,L0051,,Bagà - Ripoll,3,,,
1065,BS,L0660,,Sant Hilari Sacalm-Barcelona,3,,,
1067,BJ,L0198,,(230) Caldes de Montbui-Sentmenat-Sabadell,3,,,
