stop_id,route_id,avg_time
100,R2,6.0
101,R3,14.0
101,R4,6.0
101,R1,5.0
102,R3,14.0
102,R4,5.0
102,R1,5.0
103,R2,4.0
104,R3,17.0
104,R4,6.0
104,R2,3.0
104,R1,5.0
107,R4,6.0
108,R4,7.0
110,R8,48.0
110,R7,15.0
111,R4,6.0
111,R1,18.0
112,R3,16.0
112,R4,7.0
112,R1,5.0
113,R2,5.0
114,R2,4.0
115,R2,18.0
117,R4,7.0
117,R1,16.0
118,R4,7.0
118,R1,19.0
119,R4,6.0
119,R1,23.0
120,R2,5.0
121,R2,7.0
128,R4,7.0
128,R8,32.0
129,R4,7.0
130,R2,13.0
131,R2,6.0
134,R4,8.0
134,R8,41.0
135,R2,7.0
139,R4,12.0
217,R8,30.0
218,R8,23.0
239,R3,21.0
247,R3,14.0
247,R4,5.0
300,R1,6.0
302,R1,6.0
303,R1,6.0
306,R2,11.0
307,R2,16.0
308,R4,21.0
310,R3,16.0
311,R2,8.0
311,R8,30.0
313,R3,20.0
314,R4,21.0
315,R4,15.0
316,R2,15.0
318,R2,11.0
320,R1,6.0
321,R2,11.0
321,R8,28.0
322,R1,5.0
323,R2,13.0
324,R3,14.0
326,R1,5.0
328,R4,5.0
329,R4,6.0
330,R1,6.0
331,R2,9.0
334,R2,7.0
335,R4,42.0
336,R4,15.0
337,R4,6.0
338,R4,8.0
340,R4,32.0
341,R4,30.0
342,R4,44.0
343,R4,15.0
344,R2,7.0
345,R1,5.0
62,R1,5.0
65,R1,5.0
66,R1,6.0
67,R1,5.0
82,R1,5.0
86,R2,10.0
86,R8,21.0
87,R3,13.0
88,R3,17.0
89,R2,12.0
90,R2,7.0
91,R2,6.0
92,R2,11.0
92,R1,5.0
93,R3,18.0
94,R4,7.0
94,R7,15.0
95,R4,6.0
95,R7,13.0
96,R4,5.0
96,R7,11.0
97,R3,16.0
97,R4,6.0
97,R7,16.0
98,R4,6.0
98,R3,19.0
98,R7,15.0
99,R3,13.0
99,R4,6.0
99,R7,14.0
