trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
R212000,327.0,327.0,100,1,,,,,
R213000,347.0,347.0,100,1,,,,,
R212001,357.0,357.0,100,1,,,,,
R213001,377.0,377.0,100,1,,,,,
R212002,387.0,387.0,100,1,,,,,
R2010000,402.0,402.0,100,13,,,,,
R213002,407.0,407.0,100,1,,,,,
R212003,417.0,417.0,100,1,,,,,
R213003,437.0,437.0,100,1,,,,,
R2012000,441.0,441.0,100,10,,,,,
R212004,447.0,447.0,100,1,,,,,
R2012001,454.0,454.0,100,10,,,,,
R202000,463.0,463.0,100,12,,,,,
R213004,467.0,467.0,100,1,,,,,
R2012002,471.0,471.0,100,10,,,,,
R212005,477.0,477.0,100,1,,,,,
R202001,493.0,493.0,100,12,,,,,
R213005,497.0,497.0,100,1,,,,,
R2015000,500.0,500.0,100,12,,,,,
R212006,507.0,507.0,100,1,,,,,
R2016000,514.0,514.0,100,8,,,,,
R202002,523.0,523.0,100,12,,,,,
R213006,527.0,527.0,100,1,,,,,
R2012003,529.0,529.0,100,10,,,,,
R212007,537.0,537.0,100,1,,,,,
R202003,543.0,543.0,100,12,,,,,
R2012004,551.0,551.0,100,10,,,,,
R213007,557.0,557.0,100,1,,,,,
R202004,562.0,562.0,100,12,,,,,
R212008,567.0,567.0,100,1,,,,,
R202005,571.0,571.0,100,12,,,,,
R2012005,574.0,574.0,100,10,,,,,
R202006,583.0,583.0,100,12,,,,,
R213008,587.0,587.0,100,1,,,,,
R203000,589.0,589.0,100,8,,,,,
R212009,597.0,597.0,100,1,,,,,
R202007,613.0,613.0,100,12,,,,,
R213009,617.0,617.0,100,1,,,,,
R203001,623.0,623.0,100,8,,,,,
R212010,627.0,627.0,100,1,,,,,
R202008,643.0,643.0,100,12,,,,,
R213010,647.0,647.0,100,1,,,,,
R203002,653.0,653.0,100,8,,,,,
R212011,657.0,657.0,100,1,,,,,
R202009,673.0,673.0,100,12,,,,,
R213011,677.0,677.0,100,1,,,,,
R203003,683.0,683.0,100,8,,,,,
R212012,687.0,687.0,100,1,,,,,
R202010,703.0,703.0,100,12,,,,,
R213012,707.0,707.0,100,1,,,,,
R203004,713.0,713.0,100,8,,,,,
R212013,717.0,717.0,100,1,,,,,
R202011,733.0,733.0,100,12,,,,,
R213013,737.0,737.0,100,1,,,,,
R203005,743.0,743.0,100,8,,,,,
R212014,747.0,747.0,100,1,,,,,
R202012,763.0,763.0,100,12,,,,,
R213014,767.0,767.0,100,1,,,,,
R203006,773.0,773.0,100,8,,,,,
R202013,793.0,793.0,100,12,,,,,
R203007,803.0,803.0,100,8,,,,,
R202014,823.0,823.0,100,12,,,,,
R311000,293.0,293.0,101,4,,,,,
R311001,318.0,318.0,101,4,,,,,
R403000,319.0,319.0,101,14,,,,,
R104000,329.0,329.0,101,12,,,,,
R411000,335.0,335.0,101,11,,,,,
R303000,343.0,343.0,101,10,,,,,
R406000,345.0,345.0,101,5,,,,,
R111000,353.0,353.0,101,4,,,,,
R103000,354.0,354.0,101,12,,,,,
R409000,363.0,363.0,101,5,,,,,
R411001,365.0,365.0,101,11,,,,,
R311002,369.0,369.0,101,4,,,,,
R303001,376.0,376.0,101,10,,,,,
R417001,380.0,380.0,101,4,,,,,
R401000,381.0,381.0,101,14,,,,,
R111001,383.0,383.0,101,4,,,,,
R102000,384.0,384.0,101,15,,,,,
R312000,389.0,389.0,101,4,,,,,
R111002,392.0,392.0,101,4,,,,,
R301000,395.0,395.0,101,12,,,,,
R411002,395.0,395.0,101,11,,,,,
R403001,400.0,400.0,101,14,,,,,
R111003,403.0,403.0,101,4,,,,,
R412000,408.0,408.0,101,17,,,,,
R102001,410.0,410.0,101,15,,,,,
R405000,412.0,412.0,101,14,,,,,
R111004,413.0,413.0,101,4,,,,,
R112000,422.0,422.0,101,8,,,,,
R301001,424.0,424.0,101,12,,,,,
R413000,425.0,425.0,101,17,,,,,
R408000,425.0,425.0,101,14,,,,,
R311003,428.0,428.0,101,4,,,,,
R103001,430.0,430.0,101,12,,,,,
R402000,430.0,430.0,101,18,,,,,
R111005,433.0,433.0,101,4,,,,,
R101000,440.0,440.0,101,15,,,,,
R413001,440.0,440.0,101,17,,,,,
R401001,442.0,442.0,101,14,,,,,
R111006,443.0,443.0,101,4,,,,,
R101001,446.0,446.0,101,15,,,,,
R301002,448.0,448.0,101,12,,,,,
R112001,452.0,452.0,101,8,,,,,
R101002,452.0,452.0,101,15,,,,,
R401002,452.0,452.0,101,14,,,,,
R413002,455.0,455.0,101,17,,,,,
R4010000,458.0,458.0,101,14,,,,,
R111007,463.0,463.0,101,4,,,,,
R102002,463.0,463.0,101,15,,,,,
R4011000,463.0,463.0,101,14,,,,,
R412001,468.0,468.0,101,17,,,,,
R101003,470.0,470.0,101,15,,,,,
R111008,473.0,473.0,101,4,,,,,
R408001,473.0,473.0,101,14,,,,,
R311004,476.0,476.0,101,4,,,,,
R414000,476.0,476.0,101,11,,,,,
R401003,476.0,476.0,101,14,,,,,
R101004,477.0,477.0,101,15,,,,,
R112002,482.0,482.0,101,8,,,,,
R301003,482.0,482.0,101,12,,,,,
R101005,484.0,484.0,101,15,,,,,
R413003,485.0,485.0,101,17,,,,,
R408002,488.0,488.0,101,14,,,,,
R418000,489.0,489.0,101,4,,,,,
R402001,490.0,490.0,101,18,,,,,
R111009,492.0,492.0,101,4,,,,,
R102003,493.0,493.0,101,15,,,,,
R414001,495.0,495.0,101,11,,,,,
R101006,500.0,500.0,101,15,,,,,
R415000,500.0,500.0,101,14,,,,,
R111010,503.0,503.0,101,4,,,,,
R301004,503.0,503.0,101,12,,,,,
R401004,505.0,505.0,101,14,,,,,
R101007,506.0,506.0,101,15,,,,,
R416000,506.0,506.0,101,11,,,,,
R311005,509.0,509.0,101,4,,,,,
R112003,512.0,512.0,101,8,,,,,
R101008,512.0,512.0,101,15,,,,,
R408003,513.0,513.0,101,14,,,,,
R413004,515.0,515.0,101,17,,,,,
R101009,518.0,518.0,101,15,,,,,
R401005,518.0,518.0,101,14,,,,,
R111011,522.0,522.0,101,4,,,,,
R301005,522.0,522.0,101,12,,,,,
R414002,525.0,525.0,101,11,,,,,
R102004,526.0,526.0,101,15,,,,,
R405001,528.0,528.0,101,14,,,,,
R101010,530.0,530.0,101,15,,,,,
R412002,530.0,530.0,101,17,,,,,
R111012,533.0,533.0,101,4,,,,,
R304000,534.0,534.0,101,3,,,,,
R101011,536.0,536.0,101,15,,,,,
R416001,537.0,537.0,101,11,,,,,
R408004,537.0,537.0,101,14,,,,,
R101012,542.0,542.0,101,15,,,,,
R401006,543.0,543.0,101,14,,,,,
R112004,544.0,544.0,101,8,,,,,
R411003,545.0,545.0,101,11,,,,,
R101013,548.0,548.0,101,15,,,,,
R311006,548.0,548.0,101,4,,,,,
R402002,552.0,552.0,101,18,,,,,
R111013,553.0,553.0,101,4,,,,,
R102005,558.0,558.0,101,15,,,,,
R415001,560.0,560.0,101,14,,,,,
R408005,561.0,561.0,101,14,,,,,
R101014,562.0,562.0,101,15,,,,,
R111014,563.0,563.0,101,4,,,,,
R301006,564.0,564.0,101,12,,,,,
R401007,567.0,567.0,101,14,,,,,
R113000,572.0,572.0,101,8,,,,,
R101015,572.0,572.0,101,15,,,,,
R411004,575.0,575.0,101,11,,,,,
R408006,576.0,576.0,101,14,,,,,
R313000,579.0,579.0,101,4,,,,,
R102006,582.0,582.0,101,15,,,,,
R114000,583.0,583.0,101,4,,,,,
R405002,583.0,583.0,101,14,,,,,
R101016,588.0,588.0,101,15,,,,,
R412003,590.0,590.0,101,17,,,,,
R101017,592.0,592.0,101,15,,,,,
R111015,593.0,593.0,101,4,,,,,
R401008,596.0,596.0,101,14,,,,,
R301007,597.0,597.0,101,12,,,,,
R312001,598.0,598.0,101,4,,,,,
R113001,602.0,602.0,101,8,,,,,
R101018,603.0,603.0,101,15,,,,,
R411005,605.0,605.0,101,11,,,,,
R402003,610.0,610.0,101,18,,,,,
R114001,613.0,613.0,101,4,,,,,
R102007,614.0,614.0,101,15,,,,,
R303000,618.0,618.0,101,8,,,,,
R415002,620.0,620.0,101,14,,,,,
R101019,622.0,622.0,101,15,,,,,
R111016,623.0,623.0,101,4,,,,,
R401009,626.0,626.0,101,14,,,,,
R311007,629.0,629.0,101,4,,,,,
R113002,632.0,632.0,101,8,,,,,
R101020,632.0,632.0,101,15,,,,,
R411006,635.0,635.0,101,11,,,,,
R301008,641.0,641.0,101,12,,,,,
R405003,642.0,642.0,101,14,,,,,
R114002,643.0,643.0,101,4,,,,,
R102008,644.0,644.0,101,15,,,,,
R412004,650.0,650.0,101,17,,,,,
R101021,651.0,651.0,101,15,,,,,
R111017,653.0,653.0,101,4,,,,,
R401010,656.0,656.0,101,14,,,,,
R313001,658.0,658.0,101,4,,,,,
R113003,662.0,662.0,101,8,,,,,
R101022,662.0,662.0,101,15,,,,,
R411007,665.0,665.0,101,11,,,,,
R402004,670.0,670.0,101,18,,,,,
R301009,672.0,672.0,101,12,,,,,
R114003,673.0,673.0,101,4,,,,,
R102009,674.0,674.0,101,15,,,,,
R415003,680.0,680.0,101,14,,,,,
R101023,681.0,681.0,101,15,,,,,
R111018,683.0,683.0,101,4,,,,,
R401011,686.0,686.0,101,14,,,,,
R303002,688.0,688.0,101,10,,,,,
R311008,689.0,689.0,101,4,,,,,
R113004,692.0,692.0,101,8,,,,,
R101024,692.0,692.0,101,15,,,,,
R411008,695.0,695.0,101,11,,,,,
R405004,700.0,700.0,101,14,,,,,
R114004,703.0,703.0,101,4,,,,,
R102010,704.0,704.0,101,15,,,,,
R303001,709.0,709.0,101,8,,,,,
R412005,710.0,710.0,101,17,,,,,
R101025,712.0,712.0,101,15,,,,,
R111019,713.0,713.0,101,4,,,,,
R401012,716.0,716.0,101,14,,,,,
R113005,722.0,722.0,101,8,,,,,
R101026,722.0,722.0,101,15,,,,,
R411009,725.0,725.0,101,11,,,,,
R408007,727.0,727.0,101,14,,,,,
R311009,729.0,729.0,101,4,,,,,
R402005,730.0,730.0,101,18,,,,,
R114005,733.0,733.0,101,4,,,,,
R103002,733.0,733.0,101,12,,,,,
R415004,740.0,740.0,101,14,,,,,
R104001,742.0,742.0,101,12,,,,,
R111020,743.0,743.0,101,4,,,,,
R401013,746.0,746.0,101,14,,,,,
R113006,752.0,752.0,101,8,,,,,
R101027,752.0,752.0,101,15,,,,,
R301010,754.0,754.0,101,12,,,,,
R411010,755.0,755.0,101,11,,,,,
R312002,760.0,760.0,101,4,,,,,
R405005,761.0,761.0,101,14,,,,,
R114006,763.0,763.0,101,4,,,,,
R103003,763.0,763.0,101,12,,,,,
R412006,770.0,770.0,101,17,,,,,
R104002,772.0,772.0,101,12,,,,,
R111021,773.0,773.0,101,4,,,,,
R303003,778.0,778.0,101,10,,,,,
R112005,782.0,782.0,101,8,,,,,
R101028,782.0,782.0,101,15,,,,,
R311010,790.0,790.0,101,4,,,,,
R103004,793.0,793.0,101,12,,,,,
R301011,801.0,801.0,101,12,,,,,
R311011,820.0,820.0,101,4,,,,,
R303002,828.0,828.0,101,8,,,,,
R312003,849.0,849.0,101,4,,,,,
R301012,851.0,851.0,101,12,,,,,
R303004,873.0,873.0,101,10,,,,,
R311012,877.0,877.0,101,4,,,,,
R301013,896.0,896.0,101,12,,,,,
R312004,908.0,908.0,101,4,,,,,
R313002,938.0,938.0,101,4,,,,,
R301014,943.0,943.0,101,12,,,,,
R311013,956.0,956.0,101,4,,,,,
R301015,963.0,963.0,101,12,,,,,
R311014,977.0,977.0,101,4,,,,,
R303003,993.0,993.0,101,8,,,,,
R301016,1037.0,1037.0,101,12,,,,,
R311000,291.0,291.0,102,3,,,,,
R311001,316.0,316.0,102,3,,,,,
R403000,322.0,322.0,102,15,,,,,
R104000,332.0,332.0,102,13,,,,,
R411000,333.0,333.0,102,10,,,,,
R303000,346.0,346.0,102,11,,,,,
R406000,348.0,348.0,102,6,,,,,
R111000,351.0,351.0,102,3,,,,,
R103000,357.0,357.0,102,13,,,,,
R411001,363.0,363.0,102,10,,,,,
R409000,366.0,366.0,102,6,,,,,
R311002,367.0,367.0,102,3,,,,,
R417001,378.0,378.0,102,3,,,,,
R303001,379.0,379.0,102,11,,,,,
R111001,381.0,381.0,102,3,,,,,
R401000,384.0,384.0,102,15,,,,,
R102000,387.0,387.0,102,16,,,,,
R312000,387.0,387.0,102,3,,,,,
R111002,390.0,390.0,102,3,,,,,
R411002,393.0,393.0,102,10,,,,,
R301000,398.0,398.0,102,13,,,,,
R111003,401.0,401.0,102,3,,,,,
R403001,403.0,403.0,102,15,,,,,
R412000,406.0,406.0,102,16,,,,,
R111004,411.0,411.0,102,3,,,,,
R102001,413.0,413.0,102,16,,,,,
R405000,415.0,415.0,102,15,,,,,
R112000,420.0,420.0,102,7,,,,,
R413000,423.0,423.0,102,16,,,,,
R311003,426.0,426.0,102,3,,,,,
R301001,427.0,427.0,102,13,,,,,
R408000,428.0,428.0,102,15,,,,,
R111005,431.0,431.0,102,3,,,,,
R103001,433.0,433.0,102,13,,,,,
R402000,433.0,433.0,102,19,,,,,
R413001,438.0,438.0,102,16,,,,,
R111006,441.0,441.0,102,3,,,,,
R101000,443.0,443.0,102,16,,,,,
R401001,445.0,445.0,102,15,,,,,
R101001,449.0,449.0,102,16,,,,,
R112001,450.0,450.0,102,7,,,,,
R301002,451.0,451.0,102,13,,,,,
R413002,453.0,453.0,102,16,,,,,
R101002,455.0,455.0,102,16,,,,,
R401002,455.0,455.0,102,15,,,,,
R111007,461.0,461.0,102,3,,,,,
R4010000,461.0,461.0,102,15,,,,,
R102002,466.0,466.0,102,16,,,,,
R412001,466.0,466.0,102,16,,,,,
R4011000,466.0,466.0,102,15,,,,,
R111008,471.0,471.0,102,3,,,,,
R101003,473.0,473.0,102,16,,,,,
R311004,474.0,474.0,102,3,,,,,
R414000,474.0,474.0,102,10,,,,,
R408001,476.0,476.0,102,15,,,,,
R401003,479.0,479.0,102,15,,,,,
R112002,480.0,480.0,102,7,,,,,
R101004,480.0,480.0,102,16,,,,,
R413003,483.0,483.0,102,16,,,,,
R301003,485.0,485.0,102,13,,,,,
R101005,487.0,487.0,102,16,,,,,
R418000,487.0,487.0,102,3,,,,,
R111009,490.0,490.0,102,3,,,,,
R408002,491.0,491.0,102,15,,,,,
R414001,493.0,493.0,102,10,,,,,
R402001,493.0,493.0,102,19,,,,,
R102003,496.0,496.0,102,16,,,,,
R415000,498.0,498.0,102,13,,,,,
R111010,501.0,501.0,102,3,,,,,
R101006,503.0,503.0,102,16,,,,,
R416000,504.0,504.0,102,10,,,,,
R301004,506.0,506.0,102,13,,,,,
R311005,507.0,507.0,102,3,,,,,
R401004,508.0,508.0,102,15,,,,,
R101007,509.0,509.0,102,16,,,,,
R112003,510.0,510.0,102,7,,,,,
R413004,513.0,513.0,102,16,,,,,
R101008,515.0,515.0,102,16,,,,,
R408003,516.0,516.0,102,15,,,,,
R111011,520.0,520.0,102,3,,,,,
R101009,521.0,521.0,102,16,,,,,
R401005,521.0,521.0,102,15,,,,,
R414002,523.0,523.0,102,10,,,,,
R301005,525.0,525.0,102,13,,,,,
R412002,528.0,528.0,102,16,,,,,
R102004,529.0,529.0,102,16,,,,,
R111012,531.0,531.0,102,3,,,,,
R405001,531.0,531.0,102,15,,,,,
R101010,533.0,533.0,102,16,,,,,
R416001,535.0,535.0,102,10,,,,,
R304000,537.0,537.0,102,4,,,,,
R101011,539.0,539.0,102,16,,,,,
R408004,540.0,540.0,102,15,,,,,
R112004,542.0,542.0,102,7,,,,,
R411003,543.0,543.0,102,10,,,,,
R101012,545.0,545.0,102,16,,,,,
R311006,546.0,546.0,102,3,,,,,
R401006,546.0,546.0,102,15,,,,,
R111013,551.0,551.0,102,3,,,,,
R101013,551.0,551.0,102,16,,,,,
R402002,555.0,555.0,102,19,,,,,
R415001,558.0,558.0,102,13,,,,,
R111014,561.0,561.0,102,3,,,,,
R102005,561.0,561.0,102,16,,,,,
R408005,564.0,564.0,102,15,,,,,
R101014,565.0,565.0,102,16,,,,,
R301006,567.0,567.0,102,13,,,,,
R113000,570.0,570.0,102,7,,,,,
R401007,570.0,570.0,102,15,,,,,
R411004,573.0,573.0,102,10,,,,,
R101015,575.0,575.0,102,16,,,,,
R313000,577.0,577.0,102,3,,,,,
R408006,579.0,579.0,102,15,,,,,
R114000,581.0,581.0,102,3,,,,,
R102006,585.0,585.0,102,16,,,,,
R405002,586.0,586.0,102,15,,,,,
R412003,588.0,588.0,102,16,,,,,
R111015,591.0,591.0,102,3,,,,,
R101016,591.0,591.0,102,16,,,,,
R101017,595.0,595.0,102,16,,,,,
R312001,596.0,596.0,102,3,,,,,
R401008,599.0,599.0,102,15,,,,,
R113001,600.0,600.0,102,7,,,,,
R301007,600.0,600.0,102,13,,,,,
R411005,603.0,603.0,102,10,,,,,
R101018,606.0,606.0,102,16,,,,,
R114001,611.0,611.0,102,3,,,,,
R402003,613.0,613.0,102,19,,,,,
R102007,617.0,617.0,102,16,,,,,
R415002,618.0,618.0,102,13,,,,,
R111016,621.0,621.0,102,3,,,,,
R303000,621.0,621.0,102,9,,,,,
R101019,625.0,625.0,102,16,,,,,
R311007,627.0,627.0,102,3,,,,,
R401009,629.0,629.0,102,15,,,,,
R113002,630.0,630.0,102,7,,,,,
R411006,633.0,633.0,102,10,,,,,
R101020,635.0,635.0,102,16,,,,,
R114002,641.0,641.0,102,3,,,,,
R301008,644.0,644.0,102,13,,,,,
R405003,645.0,645.0,102,15,,,,,
R102008,647.0,647.0,102,16,,,,,
R412004,648.0,648.0,102,16,,,,,
R111017,651.0,651.0,102,3,,,,,
R101021,654.0,654.0,102,16,,,,,
R313001,656.0,656.0,102,3,,,,,
R401010,659.0,659.0,102,15,,,,,
R113003,660.0,660.0,102,7,,,,,
R411007,663.0,663.0,102,10,,,,,
R101022,665.0,665.0,102,16,,,,,
R114003,671.0,671.0,102,3,,,,,
R402004,673.0,673.0,102,19,,,,,
R301009,675.0,675.0,102,13,,,,,
R102009,677.0,677.0,102,16,,,,,
R415003,678.0,678.0,102,13,,,,,
R111018,681.0,681.0,102,3,,,,,
R101023,684.0,684.0,102,16,,,,,
R311008,687.0,687.0,102,3,,,,,
R401011,689.0,689.0,102,15,,,,,
R113004,690.0,690.0,102,7,,,,,
R303002,691.0,691.0,102,11,,,,,
R411008,693.0,693.0,102,10,,,,,
R101024,695.0,695.0,102,16,,,,,
R114004,701.0,701.0,102,3,,,,,
R405004,703.0,703.0,102,15,,,,,
R102010,707.0,707.0,102,16,,,,,
R412005,708.0,708.0,102,16,,,,,
R111019,711.0,711.0,102,3,,,,,
R303001,712.0,712.0,102,9,,,,,
R101025,715.0,715.0,102,16,,,,,
R401012,719.0,719.0,102,15,,,,,
R113005,720.0,720.0,102,7,,,,,
R411009,723.0,723.0,102,10,,,,,
R101026,725.0,725.0,102,16,,,,,
R311009,727.0,727.0,102,3,,,,,
R408007,730.0,730.0,102,15,,,,,
R114005,731.0,731.0,102,3,,,,,
R402005,733.0,733.0,102,19,,,,,
R103002,736.0,736.0,102,13,,,,,
R415004,738.0,738.0,102,13,,,,,
R111020,741.0,741.0,102,3,,,,,
R104001,745.0,745.0,102,13,,,,,
R401013,749.0,749.0,102,15,,,,,
R113006,750.0,750.0,102,7,,,,,
R411010,753.0,753.0,102,10,,,,,
R101027,755.0,755.0,102,16,,,,,
R301010,757.0,757.0,102,13,,,,,
R312002,758.0,758.0,102,3,,,,,
R114006,761.0,761.0,102,3,,,,,
R405005,764.0,764.0,102,15,,,,,
R103003,766.0,766.0,102,13,,,,,
R412006,768.0,768.0,102,16,,,,,
R111021,771.0,771.0,102,3,,,,,
R104002,775.0,775.0,102,13,,,,,
