route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
R1,1111100,R111000,,1,,,,
R1,1111100,R111001,,1,,,,
R1,1111100,R111002,,1,,,,
R1,1111100,R111003,,1,,,,
R1,1111100,R111004,,1,,,,
R1,1111100,R111005,,1,,,,
R1,1111100,R111006,,1,,,,
R1,1111100,R111007,,1,,,,
R1,1111100,R111008,,1,,,,
R1,1111100,R111009,,1,,,,
R1,1111100,R111010,,1,,,,
R1,1111100,R111011,,1,,,,
R1,1111100,R111012,,1,,,,
R1,1111100,R111013,,1,,,,
R1,1111100,R111014,,1,,,,
R1,1111100,R111015,,1,,,,
R1,1111100,R111016,,1,,,,
R1,1111100,R111017,,1,,,,
R1,1111100,R111018,,1,,,,
R1,1111100,R111019,,1,,,,
R1,1111100,R111020,,1,,,,
R1,1111100,R111021,,1,,,,
R1,1111100,R112000,,1,,,,
R1,1111100,R112001,,1,,,,
R1,1111100,R112002,,1,,,,
R1,1111100,R112003,,1,,,,
R1,1111100,R112004,,1,,,,
R1,1111100,R112005,,1,,,,
R1,1111100,R113000,,1,,,,
R1,1111100,R113001,,1,,,,
R1,1111100,R113002,,1,,,,
R1,1111100,R113003,,1,,,,
R1,1111100,R113004,,1,,,,
R1,1111100,R113005,,1,,,,
R1,1111100,R113006,,1,,,,
R1,1111100,R114000,,1,,,,
R1,1111100,R114001,,1,,,,
R1,1111100,R114002,,1,,,,
R1,1111100,R114003,,1,,,,
R1,1111100,R114004,,1,,,,
R1,1111100,R114005,,1,,,,
R1,1111100,R114006,,1,,,,
R1,1111100,R104000,,0,,,,
R1,1111100,R104001,,0,,,,
R1,1111100,R104002,,0,,,,
R1,1111100,R103000,,0,,,,
R1,1111100,R103001,,0,,,,
R1,1111100,R103002,,0,,,,
R1,1111100,R103003,,0,,,,
R1,1111100,R103004,,0,,,,
R1,1111100,R102000,,0,,,,
R1,1111100,R102001,,0,,,,
R1,1111100,R102002,,0,,,,
R1,1111100,R102003,,0,,,,
R1,1111100,R102004,,0,,,,
