service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1.1000.51,1,1,1,1,1,0,0,20180123,20180920
1.1000.52,0,0,0,0,0,1,0,20180123,20180920
1.1000.53,0,0,0,0,0,0,1,20180123,20180920
1.100.51,1,1,1,1,1,0,0,20180123,20180920
1.100.52,0,0,0,0,0,1,0,20180123,20180920
1.100.53,0,0,0,0,0,0,1,20180123,20180920
1.1100.51,1,1,1,1,1,0,0,20180123,20180920
1.1100.52,0,0,0,0,0,1,0,20180123,20180920
1.1100.53,0,0,0,0,0,0,1,20180123,20180920
1.200.51,1,1,1,1,1,0,0,20180123,20180920
1.200.52,0,0,0,0,0,1,0,20180123,20180920
1.200.53,0,0,0,0,0,0,1,20180123,20180920
1.300.51,1,1,1,1,1,0,0,20180123,20180920
1.300.52,0,0,0,0,0,1,0,20180123,20180920
1.300.53,0,0,0,0,0,0,1,20180123,20180920
1.400.51,1,1,1,1,1,0,0,20180123,20180920
1.400.52,0,0,0,0,0,1,0,20180123,20180920
1.400.53,0,0,0,0,0,0,1,20180123,20180920
1.500.51,1,1,1,1,1,0,0,20180123,20180920
1.500.52,0,0,0,0,0,1,0,20180123,20180920
1.500.53,0,0,0,0,0,0,1,20180123,20180920
1.9100.108,1,1,1,1,1,0,0,20180123,20180920
1.9100.109,0,0,0,0,0,1,0,20180123,20180920
1.9100.110,0,0,0,0,0,0,1,20180123,20180920
1.9400.51,1,1,1,1,1,0,0,20180123,20180920
1.9400.52,0,0,0,0,0,1,0,20180123,20180920
1.9400.53,0,0,0,0,0,0,1,20180123,20180920
1.9900.64,1,1,1,1,1,0,0,20180123,20180920
1.9900.65,0,0,0,0,0,1,1,20180123,20180920
