service_id,date,exception_type
2.243.3595,20180123,1
2.243.3595,20180124,1
2.243.3595,20180125,1
2.243.3595,20180126,1
2.243.3595,20180129,1
2.243.3595,20180130,1
2.243.3595,20180131,1
2.243.3595,20180201,1
2.243.3595,20180202,1
2.243.3595,20180205,1
2.243.3595,20180206,1
2.243.3595,20180207,1
2.243.3595,20180208,1
2.243.3595,20180209,1
2.243.3595,20180212,1
2.243.3595,20180213,1
2.243.3595,20180214,1
2.243.3595,20180215,1
2.243.3595,20180216,1
2.243.3595,20180219,1
2.243.3595,20180220,1
2.243.3595,20180221,1
2.243.3595,20180222,1
2.243.3595,20180223,1
2.243.3595,20180226,1
2.243.3595,20180227,1
2.243.3595,20180228,1
2.243.3595,20180301,1
2.243.3595,20180302,1
2.243.3595,20180305,1
2.243.3595,20180306,1
2.243.3595,20180307,1
2.243.3595,20180308,1
2.243.3595,20180309,1
2.243.3595,20180312,1
2.243.3595,20180313,1
2.243.3595,20180314,1
2.243.3595,20180315,1
2.243.3595,20180316,1
2.243.3595,20180319,1
2.243.3595,20180320,1
2.243.3595,20180321,1
2.243.3595,20180322,1
2.243.3595,20180323,1
2.243.3595,20180326,1
2.243.3595,20180327,1
2.243.3595,20180328,1
2.243.3595,20180329,1
2.243.3595,20180403,1
2.243.3595,20180404,1
2.243.3595,20180405,1
2.243.3595,20180406,1
2.243.3595,20180409,1
2.243.3595,20180410,1
2.243.3595,20180411,1
2.243.3595,20180412,1
2.243.3595,20180413,1
2.243.3595,20180416,1
2.243.3595,20180417,1
2.243.3595,20180418,1
2.243.3595,20180419,1
2.243.3595,20180420,1
2.243.3595,20180423,1
2.243.3595,20180424,1
2.243.3595,20180425,1
2.243.3595,20180426,1
2.243.3595,20180427,1
2.243.3595,20180430,1
2.243.3595,20180502,1
2.243.3595,20180503,1
2.243.3595,20180504,1
2.243.3595,20180507,1
2.243.3595,20180508,1
2.243.3595,20180509,1
2.243.3595,20180510,1
2.243.3595,20180511,1
2.243.3595,20180514,1
2.243.3595,20180515,1
2.243.3595,20180516,1
2.243.3595,20180517,1
2.243.3595,20180518,1
2.243.3595,20180522,1
2.243.3595,20180523,1
2.243.3595,20180524,1
2.243.3595,20180525,1
2.243.3595,20180528,1
2.243.3595,20180529,1
2.243.3595,20180530,1
2.243.3595,20180531,1
2.243.3595,20180601,1
2.243.3595,20180604,1
2.243.3595,20180605,1
2.243.3595,20180606,1
2.243.3595,20180607,1
2.243.3595,20180608,1
2.243.3595,20180611,1
2.243.3595,20180612,1
2.243.3595,20180613,1
2.243.3595,20180614,1
2.243.3595,20180615,1
2.243.3595,20180618,1
2.243.3595,20180619,1
2.243.3595,20180620,1
2.243.3595,20180621,1
2.243.3595,20180622,1
2.243.3595,20180625,1
2.243.3595,20180626,1
2.243.3595,20180627,1
2.243.3595,20180628,1
2.243.3595,20180629,1
2.243.3595,20180702,1
2.243.3595,20180703,1
2.243.3595,20180704,1
2.243.3595,20180705,1
2.243.3595,20180706,1
2.243.3595,20180709,1
2.243.3595,20180710,1
2.243.3595,20180711,1
2.243.3595,20180712,1
2.243.3595,20180713,1
2.243.3595,20180716,1
2.243.3595,20180717,1
2.243.3595,20180718,1
2.243.3595,20180719,1
2.243.3595,20180720,1
2.243.3595,20180723,1
2.243.3595,20180724,1
2.243.3595,20180725,1
2.243.3595,20180726,1
2.243.3595,20180727,1
2.243.3595,20180730,1
2.243.3595,20180731,1
2.243.3595,20180801,1
2.243.3595,20180802,1
2.243.3595,20180803,1
2.243.3595,20180806,1
2.243.3595,20180807,1
2.243.3595,20180808,1
2.243.3595,20180809,1
2.243.3595,20180810,1
2.243.3595,20180813,1
2.243.3595,20180814,1
2.243.3595,20180816,1
2.243.3595,20180817,1
2.243.3595,20180820,1
2.243.3595,20180821,1
2.243.3595,20180822,1
2.243.3595,20180823,1
2.243.3595,20180824,1
2.243.3595,20180827,1
2.243.3595,20180828,1
2.243.3595,20180829,1
2.243.3595,20180830,1
2.243.3595,20180831,1
2.243.3595,20180903,1
2.243.3595,20180904,1
2.243.3595,20180905,1
2.243.3595,20180906,1
2.243.3595,20180907,1
2.243.3595,20180910,1
2.243.3595,20180912,1
2.243.3595,20180913,1
2.243.3595,20180914,1
2.243.3595,20180917,1
2.243.3595,20180918,1
2.243.3595,20180919,1
2.243.3596,20180127,1
2.243.3596,20180203,1
2.243.3596,20180210,1
2.243.3596,20180217,1
2.243.3596,20180224,1
2.243.3596,20180303,1
2.243.3596,20180310,1
2.243.3596,20180317,1
2.243.3596,20180324,1
2.243.3596,20180331,1
2.243.3596,20180407,1
2.243.3596,20180414,1
2.243.3596,20180421,1
2.243.3596,20180428,1
2.243.3596,20180505,1
2.243.3596,20180512,1
2.243.3596,20180519,1
2.243.3596,20180526,1
2.243.3596,20180602,1
2.243.3596,20180609,1
2.243.3596,20180616,1
2.243.3596,20180623,1
2.243.3596,20180630,1
2.243.3596,20180707,1
2.243.3596,20180714,1
2.243.3596,20180721,1
2.243.3596,20180728,1
2.243.3596,20180804,1
2.243.3596,20180811,1
2.243.3596,20180818,1
2.243.3596,20180825,1
2.243.3596,20180901,1
2.243.3596,20180908,1
2.243.3596,20180915,1
2.243.3597,20180128,1
2.243.3597,20180204,1
2.243.3597,20180211,1
2.243.3597,20180218,1
2.243.3597,20180225,1
2.243.3597,20180304,1
2.243.3597,20180311,1
2.243.3597,20180318,1
2.243.3597,20180325,1
2.243.3597,20180330,1
2.243.3597,20180401,1
2.243.3597,20180402,1
2.243.3597,20180408,1
2.243.3597,20180415,1
2.243.3597,20180422,1
2.243.3597,20180429,1
2.243.3597,20180501,1
2.243.3597,20180506,1
2.243.3597,20180513,1
2.243.3597,20180520,1
2.243.3597,20180521,1
2.243.3597,20180527,1
2.243.3597,20180603,1
2.243.3597,20180610,1
2.243.3597,20180617,1
2.243.3597,20180624,1
2.243.3597,20180701,1
2.243.3597,20180708,1
2.243.3597,20180715,1
2.243.3597,20180722,1
2.243.3597,20180729,1
2.243.3597,20180805,1
2.243.3597,20180812,1
2.243.3597,20180815,1
2.243.3597,20180819,1
2.243.3597,20180826,1
2.243.3597,20180902,1
2.243.3597,20180909,1
2.243.3597,20180911,1
2.243.3597,20180916,1
2.470.3574,20180128,1
2.470.3574,20180204,1
2.470.3574,20180211,1
2.470.3574,20180218,1
2.470.3574,20180225,1
2.470.3574,20180304,1
2.470.3574,20180311,1
2.470.3574,20180318,1
2.470.3574,20180325,1
2.470.3574,20180330,1
2.470.3574,20180401,1
2.470.3574,20180402,1
2.470.3574,20180408,1
2.470.3574,20180415,1
2.470.3574,20180422,1
2.470.3574,20180429,1
2.470.3574,20180501,1
2.470.3574,20180506,1
2.470.3574,20180513,1
2.470.3574,20180520,1
2.470.3574,20180521,1
2.470.3574,20180527,1
2.470.3574,20180603,1
2.470.3574,20180610,1
2.470.3574,20180617,1
2.470.3574,20180624,1
2.470.3574,20180701,1
2.470.3574,20180708,1
2.470.3574,20180715,1
2.470.3574,20180722,1
2.470.3574,20180729,1
2.470.3574,20180805,1
2.470.3574,20180812,1
2.470.3574,20180815,1
2.470.3574,20180819,1
2.470.3574,20180826,1
2.470.3574,20180902,1
2.470.3574,20180909,1
2.470.3574,20180911,1
2.470.3574,20180916,1
2.470.3598,20180123,1
2.470.3598,20180124,1
2.470.3598,20180125,1
2.470.3598,20180126,1
2.470.3598,20180129,1
2.470.3598,20180130,1
2.470.3598,20180131,1
2.470.3598,20180201,1
2.470.3598,20180202,1
2.470.3598,20180205,1
2.470.3598,20180206,1
2.470.3598,20180207,1
2.470.3598,20180208,1
2.470.3598,20180209,1
2.470.3598,20180212,1
2.470.3598,20180213,1
2.470.3598,20180214,1
2.470.3598,20180215,1
2.470.3598,20180216,1
2.470.3598,20180219,1
2.470.3598,20180220,1
2.470.3598,20180221,1
2.470.3598,20180222,1
2.470.3598,20180223,1
2.470.3598,20180226,1
2.470.3598,20180227,1
2.470.3598,20180228,1
2.470.3598,20180301,1
2.470.3598,20180302,1
2.470.3598,20180305,1
2.470.3598,20180306,1
2.470.3598,20180307,1
2.470.3598,20180308,1
2.470.3598,20180309,1
2.470.3598,20180312,1
2.470.3598,20180313,1
2.470.3598,20180314,1
2.470.3598,20180315,1
2.470.3598,20180316,1
2.470.3598,20180319,1
2.470.3598,20180320,1
2.470.3598,20180321,1
2.470.3598,20180322,1
2.470.3598,20180323,1
2.470.3598,20180326,1
2.470.3598,20180327,1
2.470.3598,20180328,1
2.470.3598,20180329,1
2.470.3598,20180403,1
2.470.3598,20180404,1
2.470.3598,20180405,1
2.470.3598,20180406,1
2.470.3598,20180409,1
2.470.3598,20180410,1
2.470.3598,20180411,1
2.470.3598,20180412,1
2.470.3598,20180413,1
2.470.3598,20180416,1
2.470.3598,20180417,1
2.470.3598,20180418,1
2.470.3598,20180419,1
2.470.3598,20180420,1
2.470.3598,20180423,1
2.470.3598,20180424,1
2.470.3598,20180425,1
2.470.3598,20180426,1
2.470.3598,20180427,1
2.470.3598,20180430,1
2.470.3598,20180502,1
2.470.3598,20180503,1
2.470.3598,20180504,1
2.470.3598,20180507,1
2.470.3598,20180508,1
2.470.3598,20180509,1
2.470.3598,20180510,1
2.470.3598,20180511,1
2.470.3598,20180514,1
2.470.3598,20180515,1
2.470.3598,20180516,1
2.470.3598,20180517,1
2.470.3598,20180518,1
2.470.3598,20180522,1
2.470.3598,20180523,1
2.470.3598,20180524,1
2.470.3598,20180525,1
2.470.3598,20180528,1
2.470.3598,20180529,1
2.470.3598,20180530,1
2.470.3598,20180531,1
2.470.3598,20180601,1
2.470.3598,20180604,1
2.470.3598,20180605,1
2.470.3598,20180606,1
2.470.3598,20180607,1
2.470.3598,20180608,1
2.470.3598,20180611,1
2.470.3598,20180612,1
2.470.3598,20180613,1
2.470.3598,20180614,1
2.470.3598,20180615,1
2.470.3598,20180618,1
2.470.3598,20180619,1
2.470.3598,20180620,1
2.470.3598,20180621,1
2.470.3598,20180622,1
2.470.3598,20180625,1
2.470.3598,20180626,1
2.470.3598,20180627,1
2.470.3598,20180628,1
2.470.3598,20180629,1
2.470.3598,20180702,1
2.470.3598,20180703,1
2.470.3598,20180704,1
2.470.3598,20180705,1
2.470.3598,20180706,1
2.470.3598,20180709,1
2.470.3598,20180710,1
2.470.3598,20180711,1
2.470.3598,20180712,1
2.470.3598,20180713,1
2.470.3598,20180716,1
2.470.3598,20180717,1
2.470.3598,20180718,1
2.470.3598,20180719,1
2.470.3598,20180720,1
2.470.3598,20180723,1
2.470.3598,20180724,1
2.470.3598,20180725,1
2.470.3598,20180726,1
2.470.3598,20180727,1
2.470.3598,20180730,1
2.470.3598,20180731,1
2.470.3598,20180801,1
2.470.3598,20180802,1
2.470.3598,20180803,1
2.470.3598,20180806,1
2.470.3598,20180807,1
2.470.3598,20180808,1
2.470.3598,20180809,1
2.470.3598,20180810,1
2.470.3598,20180813,1
2.470.3598,20180814,1
2.470.3598,20180816,1
2.470.3598,20180817,1
2.470.3598,20180820,1
2.470.3598,20180821,1
2.470.3598,20180822,1
2.470.3598,20180823,1
2.470.3598,20180824,1
2.470.3598,20180827,1
2.470.3598,20180828,1
2.470.3598,20180829,1
2.470.3598,20180830,1
2.470.3598,20180831,1
2.470.3598,20180903,1
2.470.3598,20180904,1
2.470.3598,20180905,1
2.470.3598,20180906,1
2.470.3598,20180907,1
2.470.3598,20180910,1
2.470.3598,20180912,1
2.470.3598,20180913,1
2.470.3598,20180914,1
2.470.3598,20180917,1
2.470.3598,20180918,1
2.470.3598,20180919,1
2.470.3599,20180127,1
2.470.3599,20180203,1
2.470.3599,20180210,1
2.470.3599,20180217,1
2.470.3599,20180224,1
2.470.3599,20180303,1
2.470.3599,20180310,1
2.470.3599,20180317,1
2.470.3599,20180324,1
2.470.3599,20180331,1
2.470.3599,20180407,1
2.470.3599,20180414,1
2.470.3599,20180421,1
2.470.3599,20180428,1
2.470.3599,20180505,1
2.470.3599,20180512,1
2.470.3599,20180519,1
2.470.3599,20180526,1
2.470.3599,20180602,1
2.470.3599,20180609,1
2.470.3599,20180616,1
2.470.3599,20180623,1
2.470.3599,20180630,1
2.470.3599,20180707,1
2.470.3599,20180714,1
2.470.3599,20180721,1
2.470.3599,20180728,1
2.470.3599,20180804,1
2.470.3599,20180811,1
2.470.3599,20180818,1
2.470.3599,20180825,1
2.470.3599,20180901,1
2.470.3599,20180908,1
2.470.3599,20180915,1
2.453.2636,20180123,1
2.453.2636,20180124,1
2.453.2636,20180125,1
2.453.2636,20180126,1
2.453.2636,20180130,1
2.453.2636,20180131,1
2.453.2636,20180201,1
2.453.2636,20180202,1
2.453.2636,20180205,1
2.453.2636,20180206,1
2.453.2636,20180207,1
2.453.2636,20180208,1
2.453.2636,20180209,1
2.453.2636,20180212,1
2.453.2636,20180213,1
2.453.2636,20180214,1
2.453.2636,20180215,1
2.453.2636,20180216,1
2.453.2636,20180219,1
2.453.2636,20180220,1
2.453.2636,20180221,1
2.453.2636,20180222,1
2.453.2636,20180223,1
2.453.2636,20180226,1
2.453.2636,20180227,1
2.453.2636,20180228,1
2.453.2636,20180301,1
2.453.2636,20180302,1
2.453.2636,20180305,1
2.453.2636,20180306,1
2.453.2636,20180307,1
2.453.2636,20180308,1
2.453.2636,20180309,1
2.453.2636,20180312,1
2.453.2636,20180313,1
2.453.2636,20180314,1
2.453.2636,20180315,1
2.453.2636,20180316,1
2.453.2636,20180319,1
2.453.2636,20180320,1
2.453.2636,20180321,1
2.453.2636,20180322,1
2.453.2636,20180323,1
2.453.2636,20180326,1
2.453.2636,20180327,1
2.453.2636,20180328,1
2.453.2636,20180329,1
2.453.2636,20180403,1
2.453.2636,20180404,1
2.453.2636,20180405,1
2.453.2636,20180406,1
2.453.2636,20180409,1
2.453.2636,20180410,1
2.453.2636,20180411,1
2.453.2636,20180412,1
2.453.2636,20180413,1
2.453.2636,20180416,1
2.453.2636,20180417,1
2.453.2636,20180418,1
2.453.2636,20180419,1
2.453.2636,20180420,1
2.453.2636,20180423,1
2.453.2636,20180424,1
2.453.2636,20180425,1
2.453.2636,20180426,1
2.453.2636,20180427,1
2.453.2636,20180430,1
2.453.2636,20180502,1
2.453.2636,20180503,1
2.453.2636,20180504,1
2.453.2636,20180507,1
2.453.2636,20180508,1
2.453.2636,20180509,1
2.453.2636,20180510,1
2.453.2636,20180511,1
2.453.2636,20180514,1
2.453.2636,20180515,1
2.453.2636,20180516,1
2.453.2636,20180517,1
2.453.2636,20180518,1
2.453.2636,20180522,1
2.453.2636,20180523,1
2.453.2636,20180524,1
2.453.2636,20180525,1
2.453.2636,20180528,1
2.453.2636,20180529,1
2.453.2636,20180530,1
2.453.2636,20180531,1
2.453.2636,20180601,1
2.453.2636,20180604,1
2.453.2636,20180605,1
2.453.2636,20180606,1
2.453.2636,20180607,1
2.453.2636,20180608,1
2.453.2636,20180611,1
2.453.2636,20180612,1
2.453.2636,20180613,1
2.453.2636,20180614,1
2.453.2636,20180615,1
2.453.2636,20180618,1
2.453.2636,20180619,1
2.453.2636,20180620,1
2.453.2636,20180621,1
2.453.2636,20180622,1
2.453.2636,20180625,1
2.453.2636,20180626,1
2.453.2636,20180627,1
2.453.2636,20180628,1
2.453.2636,20180629,1
2.453.2636,20180702,1
2.453.2636,20180703,1
2.453.2636,20180704,1
2.453.2636,20180705,1
2.453.2636,20180706,1
2.453.2636,20180709,1
2.453.2636,20180710,1
2.453.2636,20180711,1
2.453.2636,20180712,1
2.453.2636,20180713,1
2.453.2636,20180716,1
2.453.2636,20180717,1
2.453.2636,20180718,1
2.453.2636,20180719,1
2.453.2636,20180720,1
2.453.2636,20180723,1
2.453.2636,20180724,1
2.453.2636,20180725,1
2.453.2636,20180726,1
2.453.2636,20180727,1
2.453.2636,20180730,1
2.453.2636,20180731,1
2.453.2636,20180801,1
2.453.2636,20180802,1
2.453.2636,20180803,1
2.453.2636,20180806,1
2.453.2636,20180807,1
2.453.2636,20180808,1
2.453.2636,20180809,1
2.453.2636,20180810,1
2.453.2636,20180813,1
2.453.2636,20180814,1
2.453.2636,20180816,1
2.453.2636,20180817,1
2.453.2636,20180820,1
2.453.2636,20180821,1
2.453.2636,20180822,1
2.453.2636,20180823,1
2.453.2636,20180824,1
2.453.2636,20180827,1
2.453.2636,20180828,1
2.453.2636,20180829,1
2.453.2636,20180830,1
2.453.2636,20180831,1
2.453.2636,20180903,1
2.453.2636,20180904,1
2.453.2636,20180905,1
2.453.2636,20180906,1
