route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
1.1,1.100.51,1.41.1,"",0,1.1.100.1,1
1.1,1.100.51,1.41.2,"",1,1.1.100.2,1
1.1,1.100.52,1.45.1,"",0,1.1.100.1,1
1.1,1.100.52,1.45.2,"",1,1.1.100.2,1
1.1,1.100.53,1.47.1,"",0,1.1.100.1,1
1.1,1.100.53,1.47.2,"",1,1.1.100.2,1
1.2,1.200.51,1.48.1,"",0,1.2.200.1,1
1.2,1.200.51,1.48.2,"",1,1.2.200.2,1
1.2,1.200.53,1.49.1,"",0,1.2.200.1,1
1.2,1.200.53,1.49.2,"",1,1.2.200.2,1
1.2,1.200.52,1.50.1,"",0,1.2.200.1,1
1.2,1.200.52,1.50.2,"",1,1.2.200.2,1
1.3,1.300.51,1.51.1,"",0,1.3.300.1,1
1.3,1.300.51,1.51.2,"",1,1.3.300.2,1
1.3,1.300.52,1.52.1,"",0,1.3.300.1,1
1.3,1.300.52,1.52.2,"",1,1.3.300.2,1
1.3,1.300.53,1.53.1,"",0,1.3.300.1,1
1.3,1.300.53,1.53.2,"",1,1.3.300.2,1
1.4,1.400.51,1.54.1,"",0,1.4.400.1,1
1.4,1.400.51,1.54.2,"",1,1.4.400.2,1
1.4,1.400.52,1.55.1,"",0,1.4.400.1,1
1.4,1.400.52,1.55.2,"",1,1.4.400.2,1
1.4,1.400.53,1.56.1,"",0,1.4.400.1,1
1.4,1.400.53,1.56.2,"",1,1.4.400.2,1
1.5,1.500.51,1.57.1,"",0,1.5.500.1,1
1.5,1.500.51,1.57.2,"",1,1.5.500.2,1
1.5,1.500.52,1.58.1,"",0,1.5.500.1,1
1.5,1.500.52,1.58.2,"",1,1.5.500.2,1
1.5,1.500.53,1.59.1,"",0,1.5.500.1,1
1.5,1.500.53,1.59.2,"",1,1.5.500.2,1
1.94,1.9400.51,1.43.1,"",0,1.94.9400.1,1
1.94,1.9400.51,1.43.2,"",1,1.94.9400.2,1
1.94,1.9400.52,1.68.1,"",0,1.94.9400.1,1
1.94,1.9400.52,1.68.2,"",1,1.94.9400.2,1
1.94,1.9400.53,1.69.1,"",0,1.94.9400.1,1
1.94,1.9400.53,1.69.2,"",1,1.94.9400.2,1
1.91,1.9100.109,1.74.1,"",0,1.91.9100.1,1
1.91,1.9100.109,1.74.2,"",1,1.91.9100.2,1
1.91,1.9100.110,1.75.1,"",0,1.91.9100.1,1
1.91,1.9100.110,1.75.2,"",1,1.91.9100.2,1
1.91,1.9100.108,1.145.1,"",0,1.91.9100.1,1
1.91,1.9100.108,1.145.2,"",1,1.91.9100.2,1
1.10,1.1000.51,1.62.1,"",0,1.10.1000.1,1
1.10,1.1000.51,1.62.2,"",1,1.10.1000.2,1
1.10,1.1000.52,1.63.1,"",0,1.10.1000.1,1
1.10,1.1000.52,1.63.2,"",1,1.10.1000.2,1
1.10,1.1000.53,1.64.1,"",0,1.10.1000.1,1
1.10,1.1000.53,1.64.2,"",1,1.10.1000.2,1
1.11,1.1100.51,1.65.1,"",0,1.11.1100.1,1
1.11,1.1100.51,1.65.2,"",1,1.11.1100.2,1
1.11,1.1100.52,1.66.1,"",0,1.11.1100.1,1
1.11,1.1100.52,1.66.2,"",1,1.11.1100.2,1
1.11,1.1100.53,1.67.1,"",0,1.11.1100.1,1
1.11,1.1100.53,1.67.2,"",1,1.11.1100.2,1
1.99,1.9900.64,1.79.1,"",0,1.99.9900.1,1
1.99,1.9900.64,1.79.2,"",1,1.99.9900.2,1
1.99,1.9900.65,1.80.1,"",0,1.99.9900.1,1
1.99,1.9900.65,1.80.2,"",1,1.99.9900.2,1
2.220,2.353.3569,2.1037672.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037675.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037677.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037679.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037681.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037685.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037687.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037689.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037691.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037693.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037695.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037697.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3568,2.1099864.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3568,2.1099866.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3568,2.1099868.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3568,2.1099870.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3568,2.1099871.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3568,2.1099874.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3568,2.1099876.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3568,2.1099878.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3568,2.1099881.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3568,2.1099883.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3568,2.1099885.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037702.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037704.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037706.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037708.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037710.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037712.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037714.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037716.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037719.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037721.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037723.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037725.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037727.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037729.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037731.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037733.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037735.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037738.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037740.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037742.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037744.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037821.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037823.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037825.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037827.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037829.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037834.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037836.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037838.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037840.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037842.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037844.0,"Ernest Lluch",0,2.353.1,1
2.220,2.353.3569,2.1037846.0,"Ernest Lluch",0,2.353.1,1
