trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type
T4TOR01125,3.0,3.0,10,3,0
T4TOR0391,3.0,3.0,10,3,0
T4TOR0491,3.0,3.0,10,3,0
T4TOR1599,3.0,3.0,10,3,0
T4TOR1699,3.0,3.0,10,3,0
T4TOR02125,7.0,7.0,10,3,0
T4TOR05125,7.0,7.0,10,3,0
T4TOR14133,7.0,7.0,10,3,0
T4TOR17125,7.0,7.0,10,2,0
T4TOR18125,7.0,7.0,10,2,0
T4TOR0693,14.0,14.0,10,3,0
T4TOR1993,14.0,14.0,10,2,0
T4ANA01125,18.0,18.0,10,12,0
T4ANA14132,19.0,19.0,10,12,0
T4ANA0692,21.0,21.0,10,12,0
T4ANA1992,21.0,21.0,10,12,0
T4ANA1598,22.0,22.0,10,12,0
T4ANA1698,22.0,22.0,10,12,0
T4TOR02126,26.0,26.0,10,3,0
T4TOR05126,26.0,26.0,10,3,0
T4TOR14134,26.0,26.0,10,3,0
T4TOR17126,26.0,26.0,10,2,0
T4TOR18126,26.0,26.0,10,2,0
T4ANA1599,30.0,30.0,10,12,0
T4ANA1699,30.0,30.0,10,12,0
T4ANA02125,33.0,33.0,10,12,0
T4ANA05125,33.0,33.0,10,12,0
T4ANA14133,33.0,33.0,10,12,0
T4ANA17125,33.0,33.0,10,12,0
T4ANA18125,33.0,33.0,10,12,0
T4TOR0392,33.0,33.0,10,3,0
T4TOR15100,33.0,33.0,10,3,0
T4TOR0694,34.0,34.0,10,3,0
T4TOR1994,34.0,34.0,10,2,0
T4ANA0693,42.0,42.0,10,12,0
T4ANA1993,42.0,42.0,10,12,0
T4TOR02127,46.0,46.0,10,3,0
T4TOR05127,46.0,46.0,10,3,0
T4TOR14135,46.0,46.0,10,3,0
T4TOR17127,46.0,46.0,10,2,0
T4TOR18127,46.0,46.0,10,2,0
T4ANA0392,48.0,48.0,10,12,0
T4ANA15100,48.0,48.0,10,12,0
T4ANA02126,54.0,54.0,10,12,0
T4ANA05126,54.0,54.0,10,12,0
T4ANA14134,54.0,54.0,10,12,0
T4ANA17126,54.0,54.0,10,12,0
T4ANA18126,54.0,54.0,10,12,0
T4TOR0695,55.0,55.0,10,3,0
T4TOR1995,55.0,55.0,10,2,0
T4ANA0694,61.0,61.0,10,12,0
T4ANA1994,61.0,61.0,10,12,0
T4TOR0393,62.0,62.0,10,3,0
T4TOR15101,62.0,62.0,10,3,0
T4TOR02128,67.0,67.0,10,3,0
T4TOR05128,67.0,67.0,10,3,0
