stop_id,route_id,avg_time
1,2,2.0
1,3,2.0
1,1,5.0
10,2,2.0
10,3,2.0
10,1,3.0
11,2,2.0
11,3,2.0
11,1,4.0
12,2,2.0
12,3,2.0
12,1,5.0
13,2,2.0
13,3,2.0
13,1,6.0
13bis,3,2.0
13bis,2,2.0
13bis,1,4.0
14,3,2.0
14,2,2.0
14,1,6.0
15,3,2.0
15,2,2.0
15,1,4.0
16,3,2.0
16,2,2.0
16,1,6.0
17,2,2.0
17,1,5.0
18,2,2.0
18,1,5.0
19,2,2.0
19,1,3.0
2,2,2.0
2,3,2.0
2,1,5.0
20,2,2.0
20,1,5.0
21,2,2.0
21,1,5.0
22,2,2.0
22,1,4.0
25,2,2.0
26,2,2.0
28,3,2.0
29,3,2.0
3,2,2.0
3,3,2.0
3,1,3.0
30,3,2.0
31,3,2.0
32,3,2.0
4,2,2.0
4,3,2.0
4,1,3.0
5,2,2.0
5,3,2.0
5,1,5.0
8,2,2.0
8,3,2.0
8,1,5.0
9,2,2.0
9,3,2.0
9,1,5.0
Baixador,2,2.0
