trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,route_id,route_type
T2ANA0365,0.0,0.0,1,1,0,2,
T2ANA0665,0.0,0.0,1,1,0,2,
T2ANA0865,0.0,0.0,1,1,0,2,
T3ANA0176,0.0,0.0,1,1,0,3,
T3ANA0273,0.0,0.0,1,1,0,3,
T3ANA0573,0.0,0.0,1,1,0,3,
T3ANA1070,0.0,0.0,1,1,0,3,
T3ANA1170,0.0,0.0,1,1,0,3,
T1ANA0177,6.0,6.0,1,1,0,1,
T1ANA104,6.0,6.0,1,1,0,1,
T2ANA0455,6.0,6.0,1,1,0,2,
T3ANA0866,6.0,6.0,1,1,0,3,
T2ANA0755,12.0,12.0,1,1,0,2,
T2ANA0955,12.0,12.0,1,1,0,2,
T3ANA0366,14.0,14.0,1,1,0,3,
T3ANA0666,14.0,14.0,1,1,0,3,
T2ANA0275,16.0,16.0,1,1,0,2,
T2ANA0575,16.0,16.0,1,1,0,2,
T2ANA1172,16.0,16.0,1,1,0,2,
T1ANA042,22.0,22.0,1,1,0,1,
T1ANA083,22.0,22.0,1,1,0,1,
T3ANA0177,22.0,22.0,1,1,0,3,
T3ANA1071,22.0,22.0,1,1,0,3,
T3ANA0756,28.0,28.0,1,1,0,3,
T3ANA0956,28.0,28.0,1,1,0,3,
T2ANA0366,30.0,30.0,1,1,0,2,
T2ANA0666,30.0,30.0,1,1,0,2,
T3ANA0274,30.0,30.0,1,1,0,3,
T3ANA0574,30.0,30.0,1,1,0,3,
T3ANA1171,30.0,30.0,1,1,0,3,
T3TOR0177,33.0,33.0,1,20,0,3,
T3TOR0454,33.0,33.0,1,20,0,3,
T3TOR1071,33.0,33.0,1,20,0,3,
T3TOR0365,34.0,34.0,1,20,0,3,
T3TOR0665,34.0,34.0,1,20,0,3,
T1ANA0178,36.0,36.0,1,1,0,1,
T1ANA043,36.0,36.0,1,1,0,1,
T1ANA084,36.0,36.0,1,1,0,1,
T1ANA105,36.0,36.0,1,1,0,1,
T2TOR0177,38.0,38.0,1,24,0,2,
T2TOR1070,38.0,38.0,1,24,0,2,
T1ANA0179,40.0,40.0,1,1,0,1,
T1ANA044,40.0,40.0,1,1,0,1,
T1ANA106,40.0,40.0,1,1,0,1,
T2TOR0866,40.0,40.0,1,24,0,2,
T1ANA085,42.0,42.0,1,1,0,1,
T2ANA0756,42.0,42.0,1,1,0,2,
T2ANA0956,42.0,42.0,1,1,0,2,
T3ANA0367,44.0,44.0,1,1,0,3,
T3ANA0667,44.0,44.0,1,1,0,3,
T2ANA0276,46.0,46.0,1,1,0,2,
T2ANA0576,46.0,46.0,1,1,0,2,
T2ANA1173,46.0,46.0,1,1,0,2,
T2TOR0366,49.0,49.0,1,24,0,2,
T2TOR0666,49.0,49.0,1,24,0,2,
T3TOR0754,49.0,49.0,1,20,0,3,
T3TOR0954,49.0,49.0,1,20,0,3,
T3TOR0274,50.0,50.0,1,20,0,3,
T3TOR0574,50.0,50.0,1,20,0,3,
T3TOR1171,51.0,51.0,1,20,0,3,
T3ANA0757,58.0,58.0,1,1,0,3,
T3ANA0957,58.0,58.0,1,1,0,3,
T2ANA0367,60.0,60.0,1,1,0,2,
T2ANA0667,60.0,60.0,1,1,0,2,
T3ANA0275,60.0,60.0,1,1,0,3,
T3ANA0575,60.0,60.0,1,1,0,3,
T3ANA1172,60.0,60.0,1,1,0,3,
T2TOR0756,63.0,63.0,1,24,0,2,
T2TOR0956,63.0,63.0,1,24,0,2,
T3TOR0366,64.0,64.0,1,20,0,3,
T3TOR0666,64.0,64.0,1,20,0,3,
T2TOR0275,65.0,65.0,1,24,0,2,
T2TOR0575,65.0,65.0,1,24,0,2,
T2TOR1171,65.0,65.0,1,24,0,2,
T2ANA0757,72.0,72.0,1,1,0,2,
T2ANA0957,72.0,72.0,1,1,0,2,
T3ANA0368,74.0,74.0,1,1,0,3,
T3ANA0668,74.0,74.0,1,1,0,3,
T2ANA0277,76.0,76.0,1,1,0,2,
T2ANA0577,76.0,76.0,1,1,0,2,
T2ANA1174,76.0,76.0,1,1,0,2,
T3TOR0755,77.0,77.0,1,20,0,3,
T3TOR0955,77.0,77.0,1,20,0,3,
T2TOR0367,79.0,79.0,1,24,0,2,
T2TOR0667,79.0,79.0,1,24,0,2,
T3TOR0275,80.0,80.0,1,20,0,3,
T3TOR0575,80.0,80.0,1,20,0,3,
T3TOR1172,81.0,81.0,1,20,0,3,
T2ANA0368,82.0,82.0,1,1,0,2,
T3ANA0958,82.0,82.0,1,1,0,3,
T3ANA0276,84.0,84.0,1,1,0,3,
T3ANA1173,84.0,84.0,1,1,0,3,
T3ANA0758,88.0,88.0,1,1,0,3,
T2ANA0668,90.0,90.0,1,1,0,2,
T3ANA0576,90.0,90.0,1,1,0,3,
T2TOR0757,93.0,93.0,1,24,0,2,
T2TOR0957,93.0,93.0,1,24,0,2,
T3TOR0367,94.0,94.0,1,20,0,3,
T3TOR0667,94.0,94.0,1,20,0,3,
T2TOR0276,95.0,95.0,1,24,0,2,
T2TOR0576,95.0,95.0,1,24,0,2,
T2TOR1172,95.0,95.0,1,24,0,2,
T2ANA0369,100.0,100.0,1,1,0,2,
T2ANA0958,100.0,100.0,1,1,0,2,
T2ANA0758,102.0,102.0,1,1,0,2,
T3ANA0669,104.0,104.0,1,1,0,3,
T2ANA0278,106.0,106.0,1,1,0,2,
T2ANA0578,106.0,106.0,1,1,0,2,
T2ANA1175,106.0,106.0,1,1,0,2,
T2TOR0368,109.0,109.0,1,24,0,2,
T2TOR0668,109.0,109.0,1,24,0,2,
T3TOR0756,109.0,109.0,1,20,0,3,
T3TOR0956,109.0,109.0,1,20,0,3,
T3TOR0276,110.0,110.0,1,20,0,3,
T3TOR0576,110.0,110.0,1,20,0,3,
T3TOR1173,111.0,111.0,1,20,0,3,
T3ANA0369,114.0,114.0,1,1,0,3,
T3ANA0959,116.0,116.0,1,1,0,3,
T3TOR0368,117.0,117.0,1,20,0,3,
T3ANA0759,118.0,118.0,1,1,0,3,
T2ANA0370,120.0,120.0,1,1,0,2,
T2ANA0669,120.0,120.0,1,1,0,2,
T3ANA0277,120.0,120.0,1,1,0,3,
T3ANA0577,120.0,120.0,1,1,0,3,
T3ANA1174,120.0,120.0,1,1,0,3,
T2TOR0758,123.0,123.0,1,24,0,2,
T2TOR0958,123.0,123.0,1,24,0,2,
T3TOR0668,124.0,124.0,1,20,0,3,
T2TOR0277,125.0,125.0,1,24,0,2,
T2TOR0577,125.0,125.0,1,24,0,2,
T2TOR1173,125.0,125.0,1,24,0,2,
T2ANA0959,126.0,126.0,1,1,0,2,
T1ANA0272,128.0,128.0,1,1,0,1,
T1ANA114,128.0,128.0,1,1,0,1,
T2ANA0759,132.0,132.0,1,1,0,2,
T3ANA0670,134.0,134.0,1,1,0,3,
T2ANA0579,136.0,136.0,1,1,0,2,
T3TOR0757,137.0,137.0,1,20,0,3,
T3TOR0957,137.0,137.0,1,20,0,3,
T2TOR0369,139.0,139.0,1,24,0,2,
T2TOR0669,139.0,139.0,1,24,0,2,
T3TOR1174,139.0,139.0,1,20,0,3,
T1ANA092,140.0,140.0,1,1,0,1,
T3TOR0277,140.0,140.0,1,20,0,3,
T3TOR0577,140.0,140.0,1,20,0,3,
T1ANA0273,142.0,142.0,1,1,0,1,
T1ANA033,142.0,142.0,1,1,0,1,
T1ANA115,142.0,142.0,1,1,0,1,
T3ANA0760,148.0,148.0,1,1,0,3,
T2ANA0670,150.0,150.0,1,1,0,2,
T3ANA0578,150.0,150.0,1,1,0,3,
T2TOR0759,153.0,153.0,1,24,0,2,
T3TOR0278,153.0,153.0,1,20,0,3,
T3TOR0369,153.0,153.0,1,20,0,3,
T3TOR0958,153.0,153.0,1,20,0,3,
T3TOR1175,153.0,153.0,1,20,0,3,
T3TOR0669,154.0,154.0,1,20,0,3,
T2TOR0578,155.0,155.0,1,24,0,2,
T1ANA0274,156.0,156.0,1,1,0,1,
T1ANA034,156.0,156.0,1,1,0,1,
T1ANA093,156.0,156.0,1,1,0,1,
T1ANA116,156.0,156.0,1,1,0,1,
T2TOR0959,157.0,157.0,1,24,0,2,
T2TOR0278,158.0,158.0,1,24,0,2,
T2TOR1174,158.0,158.0,1,24,0,2,
T1ANA0275,160.0,160.0,1,1,0,1,
T1ANA094,160.0,160.0,1,1,0,1,
T1ANA117,160.0,160.0,1,1,0,1,
T2TOR0370,160.0,160.0,1,24,0,2,
T1ANA035,162.0,162.0,1,1,0,1,
T2ANA0760,162.0,162.0,1,1,0,2,
T3ANA0671,164.0,164.0,1,1,0,3,
T2ANA0580,166.0,166.0,1,1,0,2,
T2TOR0670,169.0,169.0,1,24,0,2,
T3TOR0758,169.0,169.0,1,20,0,3,
T3TOR0578,170.0,170.0,1,20,0,3,
T3ANA0761,178.0,178.0,1,1,0,3,
T2ANA0671,180.0,180.0,1,1,0,2,
T3ANA0579,180.0,180.0,1,1,0,3,
T2TOR0760,183.0,183.0,1,24,0,2,
T3TOR0670,184.0,184.0,1,20,0,3,
T2TOR0579,185.0,185.0,1,24,0,2,
T2ANA0761,192.0,192.0,1,1,0,2,
T3ANA0672,194.0,194.0,1,1,0,3,
T2ANA0581,196.0,196.0,1,1,0,2,
T3TOR0759,197.0,197.0,1,20,0,3,
T2TOR0671,199.0,199.0,1,24,0,2,
T3TOR0579,200.0,200.0,1,20,0,3,
T3ANA0762,208.0,208.0,1,1,0,3,
T2ANA0672,210.0,210.0,1,1,0,2,
T3ANA0580,210.0,210.0,1,1,0,3,
T2TOR0761,213.0,213.0,1,24,0,2,
T3TOR0671,214.0,214.0,1,20,0,3,
T2TOR0580,215.0,215.0,1,24,0,2,
T2ANA0762,222.0,222.0,1,1,0,2,
T3ANA0673,224.0,224.0,1,1,0,3,
T2ANA0582,226.0,226.0,1,1,0,2,
T2TOR0672,229.0,229.0,1,24,0,2,
T3TOR0760,229.0,229.0,1,20,0,3,
T3TOR0580,230.0,230.0,1,20,0,3,
T3ANA0763,238.0,238.0,1,1,0,3,
T2ANA0673,240.0,240.0,1,1,0,2,
T3ANA0581,240.0,240.0,1,1,0,3,
T2TOR0762,243.0,243.0,1,24,0,2,
T3TOR0672,244.0,244.0,1,20,0,3,
T2TOR0581,245.0,245.0,1,24,0,2,
T2ANA0763,250.0,250.0,1,1,0,2,
T3ANA0674,254.0,254.0,1,1,0,3,
T2ANA0583,256.0,256.0,1,1,0,2,
T3TOR0761,257.0,257.0,1,20,0,3,
T2TOR0673,259.0,259.0,1,24,0,2,
T3TOR0581,260.0,260.0,1,20,0,3,
T3ANA0764,268.0,268.0,1,1,0,3,
T2ANA0674,270.0,270.0,1,1,0,2,
T3ANA0582,270.0,270.0,1,1,0,3,
T2TOR0763,273.0,273.0,1,24,0,2,
T3TOR0673,274.0,274.0,1,20,0,3,
T2TOR0582,275.0,275.0,1,24,0,2,
T2ANA0764,282.0,282.0,1,1,0,2,
T3ANA0675,284.0,284.0,1,1,0,3,
T2ANA0584,286.0,286.0,1,1,0,2,
T2TOR0674,289.0,289.0,1,24,0,2,
T3TOR0762,289.0,289.0,1,20,0,3,
T3TOR0582,290.0,290.0,1,20,0,3,
T2ANA011,296.0,296.0,1,1,0,2,
T2ANA021,296.0,296.0,1,1,0,2,
T2ANA051,296.0,296.0,1,1,0,2,
T2ANA101,296.0,296.0,1,1,0,2,
T2ANA111,296.0,296.0,1,1,0,2,
T3ANA031,296.0,296.0,1,1,0,3,
T3ANA061,296.0,296.0,1,1,0,3,
T3ANA081,296.0,296.0,1,1,0,3,
T2ANA031,300.0,300.0,1,1,0,2,
T2ANA061,300.0,300.0,1,1,0,2,
T2ANA081,300.0,300.0,1,1,0,2,
T3ANA041,300.0,300.0,1,1,0,3,
T3ANA071,300.0,300.0,1,1,0,3,
T3ANA091,300.0,300.0,1,1,0,3,
T2TOR0764,303.0,303.0,1,24,0,2,
T3TOR0674,304.0,304.0,1,20,0,3,
T2TOR0583,305.0,305.0,1,24,0,2,
T3ANA011,310.0,310.0,1,1,0,3,
T3ANA021,310.0,310.0,1,1,0,3,
T3ANA051,310.0,310.0,1,1,0,3,
T3ANA101,310.0,310.0,1,1,0,3,
T3ANA111,310.0,310.0,1,1,0,3,
T2ANA041,314.0,314.0,1,1,0,2,
T2ANA071,314.0,314.0,1,1,0,2,
T2ANA091,314.0,314.0,1,1,0,2,
T3ANA032,316.0,316.0,1,1,0,3,
T3ANA062,316.0,316.0,1,1,0,3,
T3ANA082,316.0,316.0,1,1,0,3,
T2TOR0675,319.0,319.0,1,24,0,2,
T3TOR0583,320.0,320.0,1,20,0,3,
T1TOR011,323.0,323.0,1,21,0,1,
T1TOR021,323.0,323.0,1,21,0,1,
T1TOR051,323.0,323.0,1,21,0,1,
T1TOR101,323.0,323.0,1,21,0,1,
T1TOR111,323.0,323.0,1,21,0,1,
T2TOR041,324.0,324.0,1,24,0,2,
T2TOR071,324.0,324.0,1,24,0,2,
T2TOR091,324.0,324.0,1,24,0,2,
T2ANA012,326.0,326.0,1,1,0,2,
T2ANA022,326.0,326.0,1,1,0,2,
T2ANA052,326.0,326.0,1,1,0,2,
T2ANA102,326.0,326.0,1,1,0,2,
T2ANA112,326.0,326.0,1,1,0,2,
T3TOR031,328.0,328.0,1,20,0,3,
T3TOR061,328.0,328.0,1,20,0,3,
